gene_name	Marques-Coelho_MSSB_BA44	Panitch_et_al	Fischer_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	upregulated_count	downregulated_count
KANK1	missing	missing	upregulated	missing	missing	1	0
KANK2	missing	upregulated	upregulated	upregulated	missing	3	0
KANSL1L	missing	missing	upregulated	missing	missing	1	0
KANSL3	missing	missing	upregulated	missing	missing	1	0
KAT2B	missing	missing	upregulated	missing	missing	1	0
KAT6A-AS1	missing	upregulated	missing	missing	missing	1	0
KATNBL1	missing	missing	upregulated	missing	missing	1	0
KATNIP	missing	missing	upregulated	missing	missing	1	0
KCNAB1-AS2	missing	downregulated	missing	missing	missing	0	1
KCNB2	downregulated	missing	missing	missing	missing	0	1
KCNE4	missing	upregulated	missing	missing	missing	1	0
KCNF1	downregulated	missing	downregulated	missing	missing	0	2
KCNH4	missing	missing	missing	missing	downregulated	0	1
KCNIP3	missing	missing	downregulated	missing	missing	0	1
KCNIP4-IT1	missing	downregulated	missing	missing	missing	0	1
KCNJ10	missing	upregulated	missing	missing	upregulated	2	0
KCNJ16	missing	upregulated	upregulated	missing	missing	2	0
KCNN3	missing	missing	upregulated	missing	missing	1	0
KCTD11	missing	upregulated	missing	missing	missing	1	0
KCTD13-DT	missing	downregulated	missing	missing	missing	0	1
KCTD17	missing	missing	downregulated	missing	missing	0	1
KCTD9P4	upregulated	missing	missing	missing	missing	1	0
KDM2A	missing	missing	upregulated	missing	missing	1	0
KDM3A	missing	missing	upregulated	missing	missing	1	0
KDM3B	missing	missing	upregulated	missing	missing	1	0
KDM5A	missing	missing	upregulated	missing	missing	1	0
KDM7A-DT	missing	downregulated	missing	missing	missing	0	1
KEAP1	missing	upregulated	missing	missing	missing	1	0
KHDC3L	missing	missing	missing	missing	downregulated	0	1
KHDRBS1	missing	downregulated	missing	missing	missing	0	1
KHNYN	missing	missing	upregulated	missing	missing	1	0
KIAA0895LP1	missing	downregulated	missing	missing	missing	0	1
KIAA0930	missing	upregulated	missing	missing	missing	1	0
KIAA1958	missing	upregulated	upregulated	missing	missing	2	0
KIF13A	missing	upregulated	upregulated	missing	missing	2	0
KIF13B	missing	upregulated	missing	missing	missing	1	0
KIF16B	missing	missing	upregulated	missing	missing	1	0
KIF1B	missing	missing	upregulated	missing	missing	1	0
KIF2B	downregulated	missing	missing	missing	missing	0	1
KIF5A	missing	missing	upregulated	upregulated	missing	2	0
KIF5B	missing	upregulated	upregulated	missing	missing	2	0
KIF9	missing	missing	downregulated	missing	missing	0	1
KIF9-AS1	missing	downregulated	missing	missing	missing	0	1
KIRREL2	missing	downregulated	downregulated	missing	missing	0	2
KLF15	missing	upregulated	upregulated	missing	missing	2	0
KLF3	missing	missing	upregulated	missing	missing	1	0
KLHL14	downregulated	missing	missing	downregulated	downregulated	0	3
KLHL17	missing	upregulated	missing	missing	missing	1	0
KLHL24	missing	missing	upregulated	missing	missing	1	0
KMO	missing	downregulated	missing	missing	missing	0	1
KMT2C	missing	missing	upregulated	missing	missing	1	0
KNCN	missing	missing	downregulated	missing	missing	0	1
KRBOX5	missing	downregulated	missing	missing	missing	0	1
KREMEN2	missing	downregulated	missing	missing	missing	0	1
KRT17	downregulated	missing	missing	missing	missing	0	1
KRT5	downregulated	downregulated	missing	missing	downregulated	0	3
KRT6A	missing	missing	missing	missing	downregulated	0	1
KRT83	downregulated	missing	missing	missing	missing	0	1
KRT84	missing	missing	missing	missing	downregulated	0	1
KRTAP11-1	missing	downregulated	missing	missing	missing	0	1
KYAT1-SPOUT1	missing	upregulated	missing	missing	missing	1	0
LAGE3	missing	missing	downregulated	missing	missing	0	1
LAMB2	missing	missing	upregulated	missing	missing	1	0
LAMC1	missing	upregulated	missing	missing	missing	1	0
LAMTOR2	missing	missing	downregulated	missing	missing	0	1
LAMTOR4	missing	missing	downregulated	missing	missing	0	1
LATS1	missing	missing	upregulated	missing	missing	1	0
LATS2	missing	missing	upregulated	missing	missing	1	0
LBR	missing	missing	upregulated	missing	missing	1	0
LBX2-AS1	missing	upregulated	missing	missing	missing	1	0
LCA5	missing	missing	upregulated	missing	missing	1	0
LCAT	missing	upregulated	missing	missing	missing	1	0
LCLAT1	missing	downregulated	missing	missing	missing	0	1
LCN10	missing	upregulated	missing	missing	missing	1	0
LCN6	missing	missing	missing	missing	upregulated	1	0
LDLRAD3	missing	upregulated	missing	missing	missing	1	0
LDLRAP1	missing	upregulated	missing	upregulated	missing	2	0
LEAP2	missing	upregulated	upregulated	missing	missing	2	0
LEF1	missing	missing	missing	upregulated	missing	1	0
LENG1	missing	missing	missing	missing	downregulated	0	1
LETMD1	missing	downregulated	missing	missing	missing	0	1
LGALS1	missing	missing	downregulated	missing	missing	0	1
LGALS9	missing	missing	missing	upregulated	missing	1	0
LGI2	missing	downregulated	missing	missing	missing	0	1
LGMN	missing	missing	downregulated	missing	missing	0	1
LGR4	missing	missing	upregulated	missing	missing	1	0
LGR6	missing	missing	missing	upregulated	missing	1	0
LHFPL2	missing	missing	upregulated	missing	missing	1	0
LHX6	missing	missing	downregulated	missing	missing	0	1
LIAS	missing	downregulated	missing	missing	missing	0	1
LIFR	missing	missing	upregulated	missing	missing	1	0
LILRA2	missing	missing	missing	missing	upregulated	1	0
LIN7B	missing	missing	downregulated	missing	missing	0	1
LINC00298	missing	upregulated	missing	missing	missing	1	0
LINC00299	missing	upregulated	missing	missing	missing	1	0
LINC00310	missing	upregulated	missing	missing	missing	1	0
LINC00507	missing	downregulated	missing	missing	missing	0	1
LINC00882	missing	downregulated	missing	missing	missing	0	1
LINC01007	missing	downregulated	missing	missing	missing	0	1
LINC01088	missing	upregulated	missing	missing	missing	1	0
LINC01094	missing	upregulated	missing	missing	missing	1	0
LINC01166	missing	downregulated	missing	missing	missing	0	1
LINC01476	missing	downregulated	missing	missing	missing	0	1
LINC01485	missing	upregulated	missing	missing	missing	1	0
LINC01736	missing	upregulated	missing	missing	missing	1	0
LINC02172	missing	upregulated	missing	missing	missing	1	0
LINC02458	missing	downregulated	missing	missing	missing	0	1
LINC02552	missing	downregulated	missing	missing	missing	0	1
LINGO1	missing	missing	downregulated	missing	missing	0	1
LIX1L	missing	missing	upregulated	missing	missing	1	0
LMBR1	missing	upregulated	missing	missing	missing	1	0
LMLN-AS1	missing	downregulated	missing	missing	missing	0	1
LMNTD1	missing	missing	upregulated	missing	missing	1	0
LNCOC1	missing	downregulated	missing	missing	missing	0	1
LOC100419654	upregulated	missing	missing	missing	missing	1	0
LOC100419913	upregulated	missing	missing	missing	missing	1	0
LOC100421160	missing	missing	missing	missing	upregulated	1	0
LOC102724428	missing	missing	missing	missing	upregulated	1	0
LOC106677019	missing	downregulated	missing	missing	missing	0	1
LOC107303341	missing	upregulated	missing	missing	missing	1	0
LOC107548109	missing	downregulated	missing	missing	missing	0	1
LOC107985122	missing	upregulated	missing	missing	missing	1	0
LOC107988044	missing	upregulated	missing	missing	missing	1	0
LOC108254665	missing	upregulated	missing	missing	missing	1	0
LOC108281127	missing	upregulated	missing	missing	missing	1	0
LOC108281190	missing	downregulated	missing	missing	missing	0	1
LOC111718492	missing	upregulated	missing	missing	missing	1	0
LOC117204000	missing	upregulated	missing	missing	missing	1	0
LOC124901409	upregulated	missing	missing	missing	missing	1	0
LOC124901864	upregulated	missing	missing	missing	missing	1	0
LOC128966690	missing	upregulated	missing	missing	missing	1	0
LOC730098	missing	missing	missing	downregulated	missing	0	1
LONRF3	missing	missing	upregulated	missing	missing	1	0
LOXL1-AS1	missing	upregulated	missing	missing	missing	1	0
LOXL3	missing	missing	upregulated	missing	missing	1	0
LPA	missing	missing	missing	missing	downregulated	0	1
LPIN1	missing	missing	upregulated	missing	missing	1	0
LPP	missing	missing	upregulated	missing	missing	1	0
LPP-AS1	missing	upregulated	missing	missing	missing	1	0
LRATD2	missing	upregulated	upregulated	missing	missing	2	0
LRFN3	missing	missing	downregulated	missing	missing	0	1
LRIG1	missing	missing	upregulated	missing	missing	1	0
LRIG2	missing	missing	upregulated	missing	missing	1	0
LRIG3	upregulated	missing	upregulated	missing	missing	2	0
LRP2BP-AS1	missing	downregulated	missing	missing	missing	0	1
LRP4	missing	missing	upregulated	missing	missing	1	0
LRP4-AS1	missing	upregulated	missing	missing	missing	1	0
LRP5	missing	upregulated	missing	missing	missing	1	0
LRP6	missing	missing	upregulated	missing	missing	1	0
LRPPRC	missing	downregulated	missing	missing	missing	0	1
LRRC1	missing	upregulated	missing	missing	missing	1	0
LRRC32	missing	upregulated	missing	missing	missing	1	0
LRRC40	missing	downregulated	missing	missing	missing	0	1
LRRC58	missing	missing	upregulated	missing	missing	1	0
LRRC69	upregulated	missing	missing	missing	missing	1	0
LRRC8B	missing	downregulated	missing	missing	missing	0	1
LRRFIP1P1	missing	upregulated	missing	upregulated	missing	2	0
LRSAM1	missing	missing	downregulated	missing	missing	0	1
LSM14A	missing	missing	upregulated	missing	missing	1	0
LSM4	missing	missing	downregulated	missing	missing	0	1
LTF	upregulated	upregulated	missing	missing	upregulated	3	0
LY6G5C	missing	upregulated	missing	missing	upregulated	2	0
LY6G6F-LY6G6D	missing	missing	missing	missing	upregulated	1	0
LYNX1	missing	missing	downregulated	missing	missing	0	1
LYRM1	missing	downregulated	downregulated	missing	missing	0	2
LYRM7	missing	downregulated	missing	missing	missing	0	1
LYRM9	missing	downregulated	missing	missing	missing	0	1
LYSMD3	missing	missing	upregulated	missing	missing	1	0
MAB21L1	missing	missing	upregulated	missing	missing	1	0
MAD2L1-DT	missing	downregulated	missing	missing	missing	0	1
MAF1	missing	upregulated	missing	missing	missing	1	0
MAFF	missing	missing	missing	missing	upregulated	1	0
MAL2-AS1	missing	downregulated	missing	missing	missing	0	1
MALL	missing	missing	missing	upregulated	missing	1	0
MAML2	missing	missing	upregulated	missing	missing	1	0
MAML3	missing	missing	upregulated	missing	missing	1	0
MAN2A1	upregulated	missing	missing	missing	missing	1	0
MANBAL	missing	missing	downregulated	missing	missing	0	1
MAOA	missing	missing	upregulated	missing	missing	1	0
MAP1LC3A	missing	missing	downregulated	missing	missing	0	1
MAP2K3	missing	upregulated	missing	missing	missing	1	0
MAP3K1	missing	missing	upregulated	missing	missing	1	0
MAP3K12	missing	missing	downregulated	missing	missing	0	1
MAP3K13	missing	downregulated	missing	missing	missing	0	1
MAP3K2	missing	missing	upregulated	missing	missing	1	0
MAP3K20	missing	missing	upregulated	missing	missing	1	0
MAP3K5	missing	missing	upregulated	missing	missing	1	0
MAP3K8	missing	missing	upregulated	missing	missing	1	0
MAP4K2	missing	upregulated	missing	missing	missing	1	0
MAP4K3-DT	missing	downregulated	missing	missing	missing	0	1
MAP4K4	missing	upregulated	missing	upregulated	missing	2	0
MAP4K5	missing	missing	upregulated	missing	missing	1	0
MAPK11	missing	missing	downregulated	missing	missing	0	1
MAPK4	missing	upregulated	upregulated	missing	missing	2	0
MAPK7	missing	upregulated	missing	missing	missing	1	0
MAPK8	missing	downregulated	missing	missing	missing	0	1
MAPKAPK2	missing	upregulated	missing	missing	missing	1	0
MAPRE1	missing	missing	upregulated	missing	missing	1	0
MARCHF4	missing	missing	downregulated	missing	missing	0	1
MARCHF8	missing	missing	upregulated	missing	missing	1	0
MAS1	downregulated	missing	missing	missing	missing	0	1
MATCAP1	missing	downregulated	missing	missing	missing	0	1
MAVS	missing	missing	upregulated	missing	missing	1	0
MBD2	missing	missing	upregulated	missing	missing	1	0
MBLAC1	missing	missing	downregulated	missing	missing	0	1
MBTD1	missing	missing	upregulated	missing	missing	1	0
MBTPS2	missing	downregulated	missing	missing	missing	0	1
MCC	missing	missing	upregulated	missing	missing	1	0
MCF2L2	missing	missing	upregulated	missing	missing	1	0
MCHR2	downregulated	missing	missing	missing	downregulated	0	2
MCHR2-AS1	missing	downregulated	missing	missing	missing	0	1
MCL1	missing	missing	upregulated	missing	missing	1	0
MCM7	missing	upregulated	missing	missing	missing	1	0
MCM9	missing	missing	upregulated	missing	missing	1	0
MCTS1	missing	missing	downregulated	missing	missing	0	1
MDGA1	missing	upregulated	missing	missing	missing	1	0
MDH1	missing	downregulated	missing	missing	missing	0	1
MDH2	missing	downregulated	downregulated	missing	missing	0	2
ME3	missing	missing	downregulated	missing	missing	0	1
ME3-DT	missing	downregulated	missing	missing	missing	0	1
MEAF6	missing	downregulated	missing	missing	missing	0	1
MECR	missing	downregulated	downregulated	missing	missing	0	2
MED1	missing	missing	upregulated	missing	missing	1	0
MED12	missing	downregulated	upregulated	missing	missing	1	1
MED13	missing	missing	upregulated	missing	missing	1	0
MED23	missing	missing	upregulated	missing	missing	1	0
MED29	missing	downregulated	missing	missing	missing	0	1
MEGF10	missing	missing	upregulated	missing	missing	1	0
MEGF11	missing	missing	upregulated	missing	missing	1	0
MEGF9	missing	missing	upregulated	missing	missing	1	0
MEIS2	downregulated	missing	missing	missing	missing	0	1
MEIS3	downregulated	missing	downregulated	downregulated	missing	0	3
MEN1	missing	downregulated	missing	missing	missing	0	1
MEPCE	missing	upregulated	missing	missing	missing	1	0
MERTK	missing	missing	upregulated	missing	missing	1	0
METTL1	missing	missing	downregulated	missing	missing	0	1
METTL14	missing	missing	upregulated	missing	missing	1	0
METTL16	missing	missing	upregulated	missing	missing	1	0
METTL25B	missing	upregulated	missing	missing	missing	1	0
METTL6	missing	downregulated	missing	missing	missing	0	1
MEX3A	missing	missing	upregulated	missing	missing	1	0
MEX3C	missing	missing	upregulated	missing	missing	1	0
MFAP2	missing	upregulated	missing	missing	upregulated	2	0
MFHAS1	missing	missing	upregulated	missing	missing	1	0
MGAM	missing	missing	upregulated	missing	missing	1	0
MGME1	missing	missing	upregulated	missing	missing	1	0
MICA	missing	missing	missing	missing	upregulated	1	0
MICOS13	missing	missing	downregulated	missing	missing	0	1
MID1	missing	missing	upregulated	missing	missing	1	0
MID1IP1-AS1	missing	upregulated	missing	missing	missing	1	0
MIDEAS	missing	missing	upregulated	missing	missing	1	0
MIER3	missing	missing	upregulated	missing	missing	1	0
MINDY1	missing	upregulated	upregulated	missing	missing	2	0
MINDY2	missing	missing	upregulated	missing	missing	1	0
MIR1915HG	missing	upregulated	missing	missing	missing	1	0
MIR3667HG	missing	upregulated	missing	missing	missing	1	0
MIR7-3HG	missing	downregulated	missing	missing	missing	0	1
MKLN1	missing	missing	upregulated	missing	missing	1	0
MKLN1-AS	missing	upregulated	missing	missing	missing	1	0
MLIP	downregulated	missing	missing	missing	missing	0	1
MLIP-AS1	missing	downregulated	missing	missing	missing	0	1
MLLT10	missing	missing	upregulated	missing	missing	1	0
MMRN1	missing	missing	missing	missing	upregulated	1	0
MMS22L	missing	missing	upregulated	missing	missing	1	0
MOB3A	missing	upregulated	missing	missing	missing	1	0
MOB3C	missing	upregulated	missing	missing	missing	1	0
MOCS1	missing	upregulated	missing	missing	missing	1	0
MOGAT1	missing	upregulated	missing	missing	missing	1	0
MPC2	missing	downregulated	downregulated	missing	missing	0	2
MPI	missing	missing	downregulated	missing	missing	0	1
MPND	missing	missing	downregulated	missing	missing	0	1
MPPED2-AS1	missing	downregulated	missing	missing	missing	0	1
MPST	missing	upregulated	missing	missing	missing	1	0
MPZL1	missing	missing	upregulated	missing	missing	1	0
MRAS	missing	upregulated	upregulated	missing	missing	2	0
MRGPRF	missing	missing	missing	missing	upregulated	1	0
MRGPRF-AS1	missing	upregulated	missing	missing	missing	1	0
MRM3	missing	missing	downregulated	missing	missing	0	1
MRPL1	missing	missing	downregulated	missing	missing	0	1
MRPL11	missing	missing	downregulated	missing	missing	0	1
MRPL19	missing	downregulated	missing	missing	missing	0	1
MRPL2	missing	missing	downregulated	missing	missing	0	1
MRPL30	missing	downregulated	missing	missing	missing	0	1
MRPL37	missing	missing	downregulated	missing	missing	0	1
MRPL42	missing	downregulated	missing	missing	missing	0	1
MRPL55	missing	missing	downregulated	missing	missing	0	1
MRPL9	missing	missing	downregulated	missing	missing	0	1
MRPS11	missing	missing	downregulated	missing	missing	0	1
MRPS16	missing	missing	downregulated	missing	missing	0	1
MRPS18A	missing	missing	downregulated	missing	missing	0	1
MRPS23	missing	missing	downregulated	missing	missing	0	1
MRPS25	missing	downregulated	missing	missing	missing	0	1
MRPS30-DT	missing	downregulated	missing	missing	missing	0	1
MRPS35	missing	missing	downregulated	missing	missing	0	1
MRPS35-DT	missing	downregulated	missing	missing	missing	0	1
MRPS7	missing	missing	downregulated	missing	missing	0	1
MRPS9	missing	missing	downregulated	missing	missing	0	1
MRPS9-AS1	missing	downregulated	missing	missing	missing	0	1
MS4A14	upregulated	missing	missing	upregulated	missing	2	0
MS4A7	missing	missing	missing	upregulated	missing	1	0
MS4A8	missing	missing	missing	missing	downregulated	0	1
MSANTD1	missing	missing	downregulated	missing	missing	0	1
MSH2	missing	downregulated	missing	missing	missing	0	1
MSI1	missing	upregulated	missing	missing	missing	1	0
MSI2	missing	missing	upregulated	missing	missing	1	0
MSRB3-AS1	missing	upregulated	missing	missing	missing	1	0
MSTN	missing	missing	upregulated	missing	missing	1	0
MSTO1	missing	downregulated	missing	missing	missing	0	1
MSX1	missing	upregulated	missing	upregulated	missing	2	0
MT1E	missing	upregulated	missing	missing	missing	1	0
MT1F	missing	upregulated	missing	missing	upregulated	2	0
MT1G	missing	missing	missing	missing	upregulated	1	0
MT1H	missing	missing	missing	missing	upregulated	1	0
MT1JP	missing	upregulated	missing	missing	upregulated	2	0
MT1L	missing	upregulated	missing	missing	upregulated	2	0
MT1M	missing	upregulated	upregulated	missing	missing	2	0
MT2A	missing	upregulated	missing	missing	missing	1	0
MTCH1	missing	missing	downregulated	missing	missing	0	1
MTCL2	missing	upregulated	upregulated	missing	missing	2	0
MTCO3P12	missing	missing	missing	missing	upregulated	1	0
MTF1	missing	missing	upregulated	missing	missing	1	0
MTM1	missing	missing	upregulated	missing	missing	1	0
MTMR10	missing	upregulated	upregulated	missing	missing	2	0
MTMR3	missing	missing	upregulated	missing	missing	1	0
MTMR7	missing	downregulated	missing	missing	missing	0	1
MTND2P28	missing	missing	missing	upregulated	missing	1	0
MTND4P12	downregulated	missing	missing	missing	missing	0	1
MTPAP	missing	downregulated	missing	missing	missing	0	1
MTR	missing	downregulated	missing	missing	missing	0	1
MTRNR2L1	downregulated	missing	missing	missing	missing	0	1
MTRNR2L10	downregulated	missing	missing	missing	missing	0	1
MTRNR2L11	downregulated	missing	missing	missing	missing	0	1
MTRNR2L12	downregulated	missing	missing	missing	missing	0	1
MTRNR2L13	downregulated	missing	missing	missing	missing	0	1
MTRNR2L2	downregulated	missing	missing	missing	missing	0	1
MTRNR2L3	downregulated	missing	missing	missing	missing	0	1
MTRNR2L4	downregulated	missing	missing	missing	missing	0	1
MTRNR2L6	downregulated	missing	missing	missing	missing	0	1
MTRNR2L7	downregulated	missing	missing	missing	missing	0	1
MTRNR2L8	downregulated	missing	missing	missing	missing	0	1
MTSS2	missing	upregulated	missing	missing	missing	1	0
MUC1	missing	upregulated	missing	missing	missing	1	0
MUC12	downregulated	missing	missing	downregulated	missing	0	2
MUC5AC	missing	missing	missing	missing	downregulated	0	1
MVD	missing	missing	downregulated	missing	missing	0	1
MXD4	missing	upregulated	missing	missing	missing	1	0
MXI1	missing	upregulated	upregulated	missing	missing	2	0
MYDGF	missing	missing	downregulated	missing	missing	0	1
MYG1	missing	missing	downregulated	missing	missing	0	1
MYL5	missing	missing	downregulated	missing	missing	0	1
MYO10	missing	upregulated	upregulated	missing	missing	2	0
MYO6	missing	missing	upregulated	missing	missing	1	0
MYOT	missing	missing	missing	missing	upregulated	1	0
MYSM1	missing	downregulated	missing	missing	missing	0	1
MZB1	missing	missing	missing	downregulated	missing	0	1
N4BP1	missing	missing	upregulated	missing	missing	1	0
N4BP2	missing	missing	upregulated	missing	missing	1	0
NAA16	missing	missing	upregulated	missing	missing	1	0
NAA20	missing	downregulated	downregulated	missing	missing	0	2
NACC2	missing	upregulated	upregulated	missing	missing	2	0
NAGLU	missing	upregulated	missing	missing	missing	1	0
NALCN	missing	downregulated	missing	missing	missing	0	1
NAP1L2	missing	downregulated	missing	missing	missing	0	1
NAP1L5	missing	downregulated	missing	missing	missing	0	1
NAT16	missing	downregulated	missing	missing	missing	0	1
NBEAL1	missing	missing	upregulated	missing	missing	1	0
NBEAL2	missing	upregulated	missing	missing	missing	1	0
NBPF10	missing	missing	upregulated	missing	missing	1	0
NBPF12	missing	missing	upregulated	missing	missing	1	0
NBPF14	missing	missing	upregulated	missing	missing	1	0
NBPF19	missing	missing	upregulated	missing	missing	1	0
NBPF26	missing	missing	upregulated	missing	missing	1	0
NCALD	missing	downregulated	missing	missing	missing	0	1
NCAN	missing	missing	upregulated	missing	missing	1	0
NCAPD3	missing	missing	upregulated	missing	missing	1	0
NCBP2AS2	missing	missing	downregulated	missing	missing	0	1
NCOA1	missing	missing	upregulated	missing	missing	1	0
NCOA3	missing	missing	upregulated	missing	missing	1	0
NCOA6	missing	missing	upregulated	missing	missing	1	0
ND4L	missing	missing	missing	upregulated	missing	1	0
NDE1	missing	upregulated	missing	missing	missing	1	0
NDFIP1	missing	downregulated	missing	missing	missing	0	1
NDST3	missing	downregulated	missing	missing	missing	0	1
NDUFA10	missing	downregulated	downregulated	missing	missing	0	2
NDUFA5	missing	downregulated	missing	missing	missing	0	1
NDUFAB1	missing	downregulated	downregulated	missing	missing	0	2
NDUFAF3	missing	missing	downregulated	missing	missing	0	1
NDUFAF6	missing	missing	downregulated	missing	missing	0	1
NDUFB2	missing	missing	downregulated	missing	missing	0	1
NDUFB2-AS1	missing	downregulated	missing	missing	missing	0	1
NDUFB3	missing	missing	downregulated	missing	missing	0	1
NDUFB5	missing	downregulated	downregulated	missing	missing	0	2
NDUFC1	missing	missing	downregulated	missing	missing	0	1
NDUFS6	missing	missing	downregulated	missing	missing	0	1
NEBL	missing	missing	upregulated	missing	missing	1	0
NECAB2	missing	missing	downregulated	missing	missing	0	1
NECAP1	missing	downregulated	missing	missing	missing	0	1
NECTIN3-AS1	missing	downregulated	missing	missing	missing	0	1
NEDD1	missing	missing	upregulated	missing	missing	1	0
NEDD9	missing	missing	upregulated	missing	missing	1	0
NEK10	missing	downregulated	missing	missing	missing	0	1
NEK4	missing	missing	upregulated	missing	missing	1	0
NEO1	missing	missing	upregulated	missing	missing	1	0
NES	missing	upregulated	missing	upregulated	missing	2	0
NEU1	missing	missing	downregulated	missing	missing	0	1
NEU3	missing	downregulated	missing	missing	missing	0	1
NEUROD6	downregulated	missing	missing	downregulated	missing	0	2
NFATC2	missing	missing	upregulated	upregulated	missing	2	0
NFATC4	missing	upregulated	missing	missing	missing	1	0
NFE2	missing	missing	missing	missing	upregulated	1	0
NFE2L2	missing	missing	upregulated	missing	missing	1	0
NFIA-AS1	missing	upregulated	missing	missing	missing	1	0
NFIB-AS1	missing	upregulated	missing	missing	missing	1	0
NFKB1	missing	missing	upregulated	missing	missing	1	0
NFKBIA	missing	upregulated	upregulated	missing	missing	2	0
NFKBIZ	missing	missing	upregulated	missing	missing	1	0
NFU1	missing	missing	downregulated	missing	missing	0	1
NHLRC1	missing	missing	downregulated	missing	missing	0	1
NHLRC2	missing	missing	upregulated	missing	missing	1	0
NHLRC3	missing	downregulated	missing	missing	missing	0	1
NHP2	missing	missing	downregulated	missing	missing	0	1
NHSL1	missing	missing	upregulated	missing	missing	1	0
NIN	missing	missing	upregulated	missing	missing	1	0
NINJ1	missing	upregulated	missing	missing	missing	1	0
NIP7P3	upregulated	missing	missing	missing	missing	1	0
NIPBL	missing	missing	upregulated	missing	missing	1	0
NIPSNAP1	missing	downregulated	downregulated	missing	missing	0	2
NIT1	missing	downregulated	downregulated	missing	missing	0	2
NKIRAS1	missing	downregulated	missing	missing	missing	0	1
NMNAT2	missing	downregulated	missing	missing	missing	0	1
NMU	downregulated	downregulated	missing	missing	missing	0	2
NOC2L	missing	missing	downregulated	missing	missing	0	1
NORAD	missing	downregulated	missing	missing	missing	0	1
NOTCH2	missing	missing	upregulated	missing	missing	1	0
NOTCH4	upregulated	upregulated	upregulated	missing	missing	3	0
NPBWR1	missing	missing	missing	missing	downregulated	0	1
NPHS1	missing	missing	downregulated	missing	missing	0	1
NPIPA8	missing	missing	missing	missing	upregulated	1	0
NPM1	missing	missing	downregulated	missing	missing	0	1
NPM1P40	missing	missing	missing	upregulated	missing	1	0
NPNT	missing	upregulated	missing	missing	missing	1	0
NPPA	downregulated	missing	downregulated	downregulated	missing	0	3
NPY2R	downregulated	missing	missing	downregulated	missing	0	2
NR2E1	missing	missing	upregulated	missing	missing	1	0
NRDE2	missing	missing	upregulated	missing	missing	1	0
NRIP2	missing	upregulated	missing	missing	missing	1	0
NRL	missing	missing	downregulated	missing	missing	0	1
NRN1	missing	downregulated	downregulated	missing	missing	0	2
NRSN1	missing	downregulated	missing	missing	missing	0	1
NRSN2	missing	missing	downregulated	missing	missing	0	1
NRXN3	missing	downregulated	missing	missing	missing	0	1
NSMCE1	missing	missing	downregulated	missing	missing	0	1
NTMT1	missing	missing	downregulated	missing	missing	0	1
NUCB1	missing	missing	downregulated	missing	missing	0	1
NUDT14	missing	missing	downregulated	missing	missing	0	1
NUDT18	missing	missing	downregulated	missing	missing	0	1
NUDT2	missing	downregulated	missing	missing	missing	0	1
NUDT21	missing	downregulated	missing	missing	missing	0	1
NUP153	missing	missing	upregulated	missing	missing	1	0
NUP160	missing	missing	upregulated	missing	missing	1	0
NUP205	missing	missing	upregulated	missing	missing	1	0
NUPR1	missing	upregulated	missing	missing	upregulated	2	0
NUTF2	missing	missing	downregulated	missing	missing	0	1
NUTM2A	missing	missing	downregulated	missing	missing	0	1
NWD1	upregulated	upregulated	missing	missing	missing	2	0
NWD2	downregulated	missing	missing	missing	missing	0	1
NXN	missing	upregulated	missing	missing	missing	1	0
NXPH1	missing	downregulated	missing	missing	missing	0	1
NXPH2	missing	downregulated	missing	missing	missing	0	1
NYNRIN	missing	upregulated	missing	missing	missing	1	0
OACYLP	missing	missing	missing	missing	downregulated	0	1
OAS2	upregulated	missing	missing	missing	missing	1	0
OBSCN-AS1	missing	missing	downregulated	missing	missing	0	1
OCIAD1-AS1	missing	downregulated	missing	missing	missing	0	1
OGA	missing	downregulated	missing	missing	missing	0	1
OGFOD1	missing	downregulated	downregulated	missing	missing	0	2
OIP5-AS1	missing	downregulated	missing	missing	missing	0	1
OLFM3	missing	downregulated	missing	missing	missing	0	1
OLFM4	downregulated	downregulated	downregulated	missing	missing	0	3
OLFML1	upregulated	missing	missing	missing	missing	1	0
OPHN1	missing	missing	upregulated	missing	missing	1	0
OR14I1	missing	missing	missing	missing	downregulated	0	1
OR1F1	missing	missing	missing	missing	downregulated	0	1
OR2T29	missing	missing	missing	missing	downregulated	0	1
OR7C1	missing	upregulated	missing	missing	missing	1	0
OR7E14P	missing	upregulated	missing	missing	missing	1	0
OR7E161P	missing	missing	missing	missing	downregulated	0	1
OR7E47P	missing	missing	missing	missing	downregulated	0	1
ORC3	missing	downregulated	missing	missing	missing	0	1
ORC6	missing	missing	downregulated	missing	missing	0	1
OSBP2	missing	missing	downregulated	missing	missing	0	1
OSBPL11	missing	missing	upregulated	missing	missing	1	0
OSTN	missing	missing	downregulated	missing	missing	0	1
OTOGL	downregulated	missing	missing	downregulated	missing	0	2
OTUB1	missing	missing	downregulated	missing	missing	0	1
OTUD5	missing	missing	downregulated	missing	missing	0	1
OTULIN	missing	missing	upregulated	missing	missing	1	0
OVOL2	downregulated	missing	missing	missing	missing	0	1
P2RX2	missing	missing	missing	missing	downregulated	0	1
P2RX5-TAX1BP3	missing	upregulated	missing	missing	missing	1	0
P2RY2	missing	upregulated	missing	missing	missing	1	0
P4HTM	missing	missing	downregulated	missing	missing	0	1
PABPC5	missing	missing	upregulated	missing	missing	1	0
