gene_name	Annese_et_al	Magistry_et_al	Luo_et_al	van_Rooij_et_al	upregulated_count	downregulated_count
LINGO3	missing	missing	upregulated	missing	1	0
LINS1	missing	missing	upregulated	missing	1	0
LIPC	downregulated	missing	missing	missing	0	1
LIPC-AS1	missing	downregulated	missing	downregulated	0	2
LIPE-AS1	missing	missing	downregulated	missing	0	1
LLGL1	missing	missing	missing	downregulated	0	1
LMBRD2	downregulated	missing	missing	downregulated	0	2
LMCD1-AS1	downregulated	missing	downregulated	missing	0	2
LMO1	missing	missing	upregulated	missing	1	0
LMO3	missing	missing	missing	downregulated	0	1
LMO7DN	missing	missing	missing	downregulated	0	1
LMOD1	missing	missing	upregulated	upregulated	2	0
LMTK3	missing	missing	upregulated	downregulated	1	1
LMX1A-AS1	downregulated	missing	missing	missing	0	1
LNCAROD	missing	upregulated	missing	missing	1	0
LNX1-AS1	downregulated	missing	missing	downregulated	0	2
LOC102724428	upregulated	missing	missing	missing	1	0
LOC102724560	missing	missing	downregulated	missing	0	1
LOC106096416	downregulated	missing	missing	missing	0	1
LOC106780800	missing	missing	upregulated	missing	1	0
LOC107181287	missing	missing	missing	downregulated	0	1
LOC107195252	missing	missing	missing	upregulated	1	0
LOC107275224	missing	missing	upregulated	missing	1	0
LOC107303341	missing	missing	missing	upregulated	1	0
LOC107546746	downregulated	missing	missing	missing	0	1
LOC107548109	downregulated	missing	missing	downregulated	0	2
LOC107882126	missing	missing	missing	upregulated	1	0
LOC107985122	upregulated	missing	missing	upregulated	2	0
LOC107988032	missing	missing	upregulated	missing	1	0
LOC107988044	missing	missing	missing	upregulated	1	0
LOC108021845	missing	missing	missing	upregulated	1	0
LOC108192210	missing	missing	upregulated	missing	1	0
LOC108254665	upregulated	missing	missing	missing	1	0
LOC108254686	upregulated	missing	missing	missing	1	0
LOC108254692	upregulated	missing	missing	upregulated	2	0
LOC108254694	missing	missing	missing	downregulated	0	1
LOC108254695	missing	missing	missing	downregulated	0	1
LOC108281114	missing	missing	missing	upregulated	1	0
LOC108281116	missing	missing	downregulated	missing	0	1
LOC108281122	upregulated	missing	missing	missing	1	0
LOC108281127	missing	missing	missing	upregulated	1	0
LOC108281133	missing	missing	upregulated	upregulated	2	0
LOC108281140	missing	missing	downregulated	missing	0	1
LOC108281149	downregulated	missing	missing	missing	0	1
LOC108281162	missing	missing	upregulated	missing	1	0
LOC108281163	upregulated	missing	upregulated	missing	2	0
LOC108281190	missing	missing	missing	downregulated	0	1
LOC108318669	missing	missing	downregulated	missing	0	1
LOC108348020	missing	missing	missing	upregulated	1	0
LOC108353814	missing	missing	upregulated	downregulated	1	1
LOC108353820	missing	missing	upregulated	upregulated	2	0
LOC108491827	missing	missing	upregulated	missing	1	0
LOC108783649	missing	missing	missing	upregulated	1	0
LOC108964933	missing	missing	upregulated	missing	1	0
LOC109136576	missing	missing	upregulated	missing	1	0
LOC109286556	upregulated	missing	missing	upregulated	2	0
LOC109286563	missing	missing	upregulated	missing	1	0
LOC109433677	downregulated	upregulated	missing	upregulated	2	1
LOC109648316	upregulated	missing	missing	missing	1	0
LOC110121292	missing	missing	missing	downregulated	0	1
LOC110467515	downregulated	missing	missing	missing	0	1
LOC110599580	upregulated	missing	missing	missing	1	0
LOC110973015	upregulated	missing	missing	missing	1	0
LOC111089947	missing	missing	missing	upregulated	1	0
LOC111188152	upregulated	missing	upregulated	missing	2	0
LOC111188159	missing	missing	upregulated	missing	1	0
LOC111188163	missing	missing	downregulated	missing	0	1
LOC111216273	missing	missing	missing	upregulated	1	0
LOC111240475	upregulated	missing	missing	upregulated	2	0
LOC111242783	upregulated	missing	missing	missing	1	0
LOC111258526	downregulated	missing	missing	missing	0	1
LOC111365141	missing	missing	missing	downregulated	0	1
LOC111674463	missing	missing	downregulated	missing	0	1
LOC111718490	missing	missing	upregulated	missing	1	0
LOC111718493	missing	missing	missing	upregulated	1	0
LOC111721704	missing	upregulated	missing	missing	1	0
LOC111721707	missing	missing	missing	upregulated	1	0
LOC111721708	missing	missing	upregulated	missing	1	0
LOC111832671	downregulated	missing	missing	missing	0	1
LOC112694756	downregulated	missing	downregulated	downregulated	0	3
LOC114803470	downregulated	missing	missing	downregulated	0	2
LOC114803472	missing	missing	downregulated	upregulated	1	1
LOC114803474	upregulated	missing	missing	missing	1	0
LOC114827816	missing	missing	missing	downregulated	0	1
LOC117038793	downregulated	missing	upregulated	downregulated	1	2
LOC117125589	missing	missing	upregulated	missing	1	0
LOC117134604	downregulated	missing	missing	missing	0	1
LOC117204000	missing	missing	missing	upregulated	1	0
LOC117282006	downregulated	missing	missing	downregulated	0	2
LOC127898559	missing	missing	downregulated	missing	0	1
LOC128598885	downregulated	missing	missing	missing	0	1
LOC128854703	upregulated	missing	missing	upregulated	2	0
LOC128966690	upregulated	missing	missing	upregulated	2	0
LOC389765	upregulated	missing	missing	missing	1	0
LOC646214	upregulated	missing	missing	missing	1	0
LOC728554	downregulated	missing	missing	missing	0	1
LOC729737	upregulated	missing	missing	missing	1	0
LOC730101	downregulated	missing	missing	missing	0	1
LONP1	upregulated	missing	missing	missing	1	0
LONRF2	downregulated	missing	missing	downregulated	0	2
LOXHD1	missing	missing	upregulated	downregulated	1	1
LOXL1-AS1	missing	missing	upregulated	missing	1	0
LOXL2-AS1	upregulated	missing	upregulated	upregulated	3	0
LPAR1	upregulated	missing	missing	missing	1	0
LPAR5	missing	missing	upregulated	missing	1	0
LPO	missing	missing	upregulated	downregulated	1	1
LPP-AS1	missing	missing	missing	upregulated	1	0
LRATD2	missing	missing	missing	upregulated	1	0
LRCH1	missing	missing	missing	upregulated	1	0
LRCH4	missing	missing	missing	upregulated	1	0
LRFN1	missing	missing	upregulated	downregulated	1	1
LRFN2	missing	missing	missing	downregulated	0	1
LRFN4	missing	missing	downregulated	missing	0	1
LRFN5-DT	downregulated	missing	missing	downregulated	0	2
LRG1	upregulated	missing	missing	missing	1	0
LRGUK	downregulated	missing	upregulated	missing	1	1
LRMDA	upregulated	missing	missing	missing	1	0
LRP12	downregulated	missing	missing	missing	0	1
LRP2BP	upregulated	missing	missing	upregulated	2	0
LRP4-AS1	upregulated	missing	missing	missing	1	0
LRP5	missing	missing	missing	upregulated	1	0
LRPPRC	missing	missing	missing	downregulated	0	1
LRRC1	upregulated	missing	upregulated	upregulated	3	0
LRRC10B	downregulated	missing	missing	missing	0	1
LRRC20	missing	missing	missing	downregulated	0	1
LRRC25	upregulated	missing	missing	missing	1	0
LRRC28	missing	missing	upregulated	missing	1	0
LRRC32	upregulated	missing	missing	upregulated	2	0
LRRC37A	missing	missing	upregulated	missing	1	0
LRRC3B-AS1	missing	missing	missing	downregulated	0	1
LRRC4	missing	missing	missing	downregulated	0	1
LRRC40	missing	missing	missing	downregulated	0	1
LRRC43	missing	missing	upregulated	missing	1	0
LRRC49	missing	missing	missing	downregulated	0	1
LRRC4B	missing	missing	upregulated	missing	1	0
LRRC4C	missing	missing	downregulated	downregulated	0	2
LRRC55	upregulated	missing	missing	missing	1	0
LRRC63	upregulated	missing	upregulated	missing	2	0
LRRC66	missing	missing	downregulated	missing	0	1
LRRC7-AS1	downregulated	missing	downregulated	downregulated	0	3
LRRC71	downregulated	missing	missing	missing	0	1
LRRC73	downregulated	missing	missing	downregulated	0	2
LRRC75A	missing	missing	upregulated	downregulated	1	1
LRRC8A	missing	missing	upregulated	missing	1	0
LRRC8B	missing	missing	upregulated	missing	1	0
LRRC9	downregulated	missing	missing	missing	0	1
LRRD1	missing	missing	upregulated	missing	1	0
LRRFIP2	missing	missing	missing	upregulated	1	0
LRRIQ1	downregulated	missing	missing	missing	0	1
LRRIQ3	missing	missing	upregulated	missing	1	0
LRRN2	downregulated	missing	missing	downregulated	0	2
LRRN3	missing	missing	missing	downregulated	0	1
LRRN4CL	missing	missing	upregulated	missing	1	0
LRRTM1	missing	missing	missing	downregulated	0	1
LRRTM2	missing	missing	missing	downregulated	0	1
LRRTM3	missing	missing	missing	downregulated	0	1
LRRTM4-AS1	missing	missing	missing	downregulated	0	1
LRSAM1	missing	missing	missing	downregulated	0	1
LRTM2	missing	missing	missing	downregulated	0	1
LSAMP-AS1	missing	missing	missing	downregulated	0	1
LSM11	missing	missing	missing	downregulated	0	1
LSM14B	missing	missing	missing	downregulated	0	1
LSM4	downregulated	missing	upregulated	missing	1	1
LSM8	missing	missing	upregulated	missing	1	0
LSMEM1	missing	missing	missing	upregulated	1	0
LSP1	missing	missing	upregulated	missing	1	0
LSR	missing	missing	missing	upregulated	1	0
LTB	missing	missing	downregulated	missing	0	1
LTBP1	missing	missing	missing	upregulated	1	0
LTBP2	missing	missing	upregulated	missing	1	0
LTBP3	missing	missing	upregulated	missing	1	0
LTBR	missing	missing	missing	upregulated	1	0
LTC4S	missing	missing	upregulated	missing	1	0
LTK	missing	upregulated	missing	missing	1	0
LUC7L3	missing	missing	upregulated	upregulated	2	0
LUM	missing	missing	missing	upregulated	1	0
LUZP2	downregulated	missing	missing	missing	0	1
LVRN	missing	missing	upregulated	missing	1	0
LY6E-DT	downregulated	missing	missing	missing	0	1
LY6H	downregulated	missing	downregulated	missing	0	2
LYG1	missing	missing	missing	upregulated	1	0
LYNX1-SLURP2	downregulated	missing	missing	downregulated	0	2
LYPD1	downregulated	missing	missing	missing	0	1
LYPD6B	missing	missing	upregulated	downregulated	1	1
LYPLA1-TCEA1	missing	missing	downregulated	missing	0	1
LYPLA2	downregulated	missing	missing	missing	0	1
LYRM9	downregulated	missing	missing	downregulated	0	2
LYZ	upregulated	missing	missing	upregulated	2	0
LZTFL1	missing	missing	upregulated	missing	1	0
MAB21L1	missing	missing	upregulated	missing	1	0
MACROD2-IT1	missing	missing	downregulated	downregulated	0	2
MAD2L1-DT	missing	missing	missing	downregulated	0	1
MAEL	missing	missing	missing	downregulated	0	1
MAF	upregulated	missing	missing	missing	1	0
MAFB	upregulated	missing	missing	missing	1	0
MAFIP	upregulated	missing	missing	missing	1	0
MAFK	missing	missing	missing	upregulated	1	0
MAG	missing	missing	upregulated	missing	1	0
MAGEC2	downregulated	missing	missing	missing	0	1
MAGED1	downregulated	missing	missing	missing	0	1
MAGEF1	missing	missing	downregulated	missing	0	1
MAGEH1	downregulated	missing	missing	missing	0	1
MAGI3	missing	missing	missing	downregulated	0	1
MAL2-AS1	downregulated	missing	missing	downregulated	0	2
MALT1	missing	missing	upregulated	missing	1	0
MAMDC4	upregulated	missing	missing	upregulated	2	0
MAML1	upregulated	missing	missing	missing	1	0
MAMLD1	missing	missing	upregulated	missing	1	0
MAN1A1	downregulated	missing	missing	missing	0	1
MAN2A1-DT	upregulated	missing	missing	upregulated	2	0
MAN2B2	missing	missing	upregulated	missing	1	0
MANEAL	missing	missing	missing	downregulated	0	1
MAOB	upregulated	missing	missing	missing	1	0
MAP10	missing	missing	missing	downregulated	0	1
MAP1LC3A	downregulated	missing	missing	downregulated	0	2
MAP1LC3B2	missing	missing	upregulated	missing	1	0
MAP1S	missing	missing	downregulated	missing	0	1
MAP2K1	downregulated	missing	missing	downregulated	0	2
MAP2K4	downregulated	missing	missing	downregulated	0	2
MAP2K6	missing	missing	upregulated	missing	1	0
MAP3K10	missing	missing	upregulated	missing	1	0
MAP3K11	upregulated	missing	missing	missing	1	0
MAP3K15	missing	missing	downregulated	missing	0	1
MAP3K19	downregulated	missing	missing	upregulated	1	1
MAP3K20	missing	missing	missing	upregulated	1	0
MAP3K3	missing	missing	missing	upregulated	1	0
MAP3K8	missing	missing	missing	upregulated	1	0
MAP3K9-DT	downregulated	missing	missing	downregulated	0	2
MAP4K4	missing	missing	missing	upregulated	1	0
MAP4K5	upregulated	missing	missing	upregulated	2	0
MAP7D2	downregulated	missing	missing	missing	0	1
MAP9-AS1	missing	missing	missing	downregulated	0	1
MAPK1	missing	missing	missing	downregulated	0	1
MAPK10-AS1	missing	missing	missing	downregulated	0	1
MAPK11	missing	missing	upregulated	missing	1	0
MAPK15	downregulated	missing	missing	missing	0	1
MAPK4	upregulated	missing	missing	missing	1	0
MAPK8IP2	downregulated	missing	missing	downregulated	0	2
MAPK8IP3-AS1	missing	missing	upregulated	downregulated	1	1
MAPK9	missing	missing	missing	downregulated	0	1
MAPKAPK2	missing	missing	missing	upregulated	1	0
MAPKAPK3	missing	missing	upregulated	missing	1	0
MAPRE3-AS1	downregulated	missing	missing	downregulated	0	2
MARCHF1	missing	missing	downregulated	missing	0	1
MARCOL	upregulated	missing	missing	missing	1	0
MARK4	missing	missing	missing	downregulated	0	1
MARVELD1	downregulated	missing	upregulated	missing	1	1
MATN1-AS1	upregulated	missing	missing	missing	1	0
MATR3	missing	missing	upregulated	missing	1	0
MAX	missing	missing	missing	upregulated	1	0
MB	missing	missing	missing	downregulated	0	1
MBLAC2	missing	missing	missing	downregulated	0	1
MBOAT1	missing	missing	missing	upregulated	1	0
MBOAT2	missing	missing	missing	downregulated	0	1
MBOAT7	missing	missing	upregulated	missing	1	0
MC1R	missing	missing	upregulated	missing	1	0
MC4R	missing	missing	missing	downregulated	0	1
MCAT	missing	missing	missing	downregulated	0	1
MCEMP1	missing	missing	missing	upregulated	1	0
MCF2	missing	missing	downregulated	missing	0	1
MCHR1	missing	missing	missing	downregulated	0	1
MCHR2-AS1	missing	upregulated	missing	missing	1	0
MCL1	missing	missing	missing	upregulated	1	0
MCM2	missing	missing	upregulated	upregulated	2	0
MCM4	missing	missing	missing	downregulated	0	1
MCM5	missing	missing	upregulated	missing	1	0
MCM7	missing	missing	upregulated	downregulated	1	1
MCMDC2	missing	missing	downregulated	missing	0	1
MCOLN1	missing	missing	downregulated	missing	0	1
MCOLN3	downregulated	downregulated	missing	missing	0	2
MCTP1-AS1	downregulated	missing	downregulated	downregulated	0	3
MCTS2	missing	missing	upregulated	missing	1	0
MDGA1	missing	missing	upregulated	missing	1	0
MDH1	downregulated	missing	missing	downregulated	0	2
MDH2	downregulated	missing	upregulated	downregulated	1	2
MDM4	missing	missing	missing	upregulated	1	0
ME3-DT	downregulated	missing	missing	downregulated	0	2
MEAK7	missing	missing	missing	downregulated	0	1
MECOM-AS1	upregulated	missing	missing	upregulated	2	0
MECR	missing	missing	missing	downregulated	0	1
MED11	missing	missing	downregulated	missing	0	1
MED12	missing	missing	missing	downregulated	0	1
MED22	missing	missing	upregulated	missing	1	0
MED29	missing	missing	missing	downregulated	0	1
MEF2C-AS2	missing	missing	missing	downregulated	0	1
MEGF10	upregulated	missing	missing	missing	1	0
MEIS1-AS2	missing	missing	upregulated	missing	1	0
MEIS3	downregulated	missing	upregulated	downregulated	1	2
MEN1	downregulated	missing	missing	downregulated	0	2
MEP1A	upregulated	missing	missing	missing	1	0
MEPCE	missing	missing	upregulated	missing	1	0
MEPE	missing	missing	missing	downregulated	0	1
MESP2	missing	missing	missing	downregulated	0	1
MESTIT1	downregulated	missing	missing	missing	0	1
METAP1	missing	missing	missing	downregulated	0	1
METAP2	missing	missing	missing	downregulated	0	1
METTL14-DT	missing	missing	upregulated	missing	1	0
METTL25	missing	missing	upregulated	missing	1	0
MFAP2	missing	missing	missing	upregulated	1	0
MFAP3	missing	missing	upregulated	upregulated	2	0
MFGE8	missing	missing	missing	upregulated	1	0
MFNG	upregulated	missing	missing	missing	1	0
MFSD13A	missing	missing	downregulated	missing	0	1
MFSD2A	missing	missing	upregulated	missing	1	0
MFSD4A	downregulated	missing	missing	downregulated	0	2
MFSD9	missing	missing	upregulated	missing	1	0
MGAM	missing	missing	upregulated	missing	1	0
MGAT5B	missing	missing	upregulated	downregulated	1	1
MGP	missing	missing	missing	upregulated	1	0
MGRN1	missing	missing	downregulated	missing	0	1
MGST1	upregulated	missing	missing	missing	1	0
MGST2	missing	missing	missing	upregulated	1	0
MIA2	downregulated	missing	missing	missing	0	1
MICAL2	downregulated	missing	missing	downregulated	0	2
MICALL2-DT	upregulated	missing	downregulated	upregulated	2	1
MICB-DT	missing	missing	missing	upregulated	1	0
MICOS13	missing	missing	upregulated	missing	1	0
MICU3	missing	missing	missing	downregulated	0	1
MID1IP1-AS1	upregulated	missing	missing	missing	1	0
MID2	missing	missing	upregulated	missing	1	0
MIDN	missing	missing	upregulated	missing	1	0
MIER1	missing	missing	missing	upregulated	1	0
MIPEP	downregulated	missing	missing	missing	0	1
MIPOL1	missing	missing	downregulated	missing	0	1
MIR22HG	downregulated	missing	missing	missing	0	1
MIR3654	missing	missing	missing	upregulated	1	0
MIR3667HG	missing	missing	missing	upregulated	1	0
MIR7-3HG	downregulated	missing	missing	missing	0	1
MIR9-1HG	missing	missing	missing	downregulated	0	1
MKI67	upregulated	missing	missing	missing	1	0
MKNK2	upregulated	missing	missing	upregulated	2	0
MKRN2OS	missing	upregulated	missing	missing	1	0
MLANA	missing	missing	missing	upregulated	1	0
MLIP-AS1	missing	missing	missing	downregulated	0	1
MLKL	upregulated	missing	upregulated	upregulated	3	0
MLLT11	downregulated	missing	missing	downregulated	0	2
MMAB	missing	missing	missing	upregulated	1	0
MMACHC	missing	missing	missing	downregulated	0	1
MMD	downregulated	missing	missing	missing	0	1
MMD2	missing	missing	missing	downregulated	0	1
MMEL1-AS1	missing	missing	downregulated	missing	0	1
MMP1	downregulated	missing	missing	missing	0	1
MMP14	missing	missing	missing	upregulated	1	0
MMP16	missing	missing	upregulated	missing	1	0
MMP2-AS1	missing	missing	upregulated	missing	1	0
MMP24OS	missing	missing	missing	downregulated	0	1
MMP25-AS1	missing	missing	upregulated	missing	1	0
MMP28	missing	missing	upregulated	missing	1	0
MMP8	missing	missing	missing	upregulated	1	0
MMRN1	upregulated	missing	missing	upregulated	2	0
MMRN2	missing	missing	missing	upregulated	1	0
MMS22L	missing	missing	missing	upregulated	1	0
MN1	missing	missing	upregulated	missing	1	0
MOAP1	downregulated	missing	missing	downregulated	0	2
MOB1A	missing	missing	missing	upregulated	1	0
MOB1B	missing	missing	downregulated	missing	0	1
MOB3C	upregulated	missing	missing	missing	1	0
MOBP	missing	missing	upregulated	missing	1	0
MOG	missing	missing	upregulated	missing	1	0
MOGAT1	missing	missing	upregulated	upregulated	2	0
MORC1-AS1	downregulated	missing	missing	missing	0	1
MORN3	downregulated	missing	missing	missing	0	1
MORN4	missing	missing	missing	downregulated	0	1
MOSPD1	downregulated	missing	downregulated	missing	0	2
MOSPD2	missing	missing	downregulated	missing	0	1
MOV10L1	missing	downregulated	missing	missing	0	1
MOXD1	downregulated	missing	missing	downregulated	0	2
MPC2	missing	missing	missing	downregulated	0	1
MPEG1	missing	missing	upregulated	missing	1	0
MPG	missing	missing	upregulated	missing	1	0
MPHOSPH10	missing	missing	upregulated	missing	1	0
MPHOSPH6-DT	missing	missing	missing	downregulated	0	1
MPP7-DT	downregulated	missing	missing	missing	0	1
MPPED2-AS1	missing	missing	missing	downregulated	0	1
MPV17L2	missing	missing	missing	downregulated	0	1
MRAP	upregulated	missing	missing	missing	1	0
MRC2	downregulated	missing	missing	missing	0	1
MRGPRF-AS1	missing	downregulated	missing	upregulated	1	1
MRPL16	missing	missing	missing	downregulated	0	1
MRPL19	missing	missing	missing	downregulated	0	1
MRPL21	downregulated	missing	missing	downregulated	0	2
MRPL3	missing	missing	missing	downregulated	0	1
MRPL30	downregulated	missing	downregulated	downregulated	0	3
MRPL37	missing	missing	missing	downregulated	0	1
MRPL38	missing	missing	missing	upregulated	1	0
MRPL4	missing	missing	upregulated	missing	1	0
MRPL54	missing	missing	upregulated	missing	1	0
MRPL55	missing	missing	upregulated	missing	1	0
MRPL58	missing	missing	upregulated	missing	1	0
MRPS18A	downregulated	missing	missing	missing	0	1
MRPS26	missing	missing	upregulated	missing	1	0
MRPS34	missing	missing	downregulated	missing	0	1
MRPS6	missing	missing	missing	upregulated	1	0
MRTFB	downregulated	missing	missing	missing	0	1
MRTO4	missing	missing	missing	downregulated	0	1
MS4A14	upregulated	missing	missing	upregulated	2	0
MS4A4A	upregulated	missing	missing	missing	1	0
MS4A6A	upregulated	missing	missing	missing	1	0
MS4A8	downregulated	missing	missing	missing	0	1
MSANTD1	missing	missing	missing	downregulated	0	1
MSANTD2-AS1	missing	missing	downregulated	upregulated	1	1
MSH6	missing	missing	missing	upregulated	1	0
MSL2	missing	missing	missing	upregulated	1	0
MSMO1	missing	missing	upregulated	missing	1	0
MSR1	upregulated	missing	missing	missing	1	0
MSRB3-AS1	missing	missing	missing	upregulated	1	0
MST1R	missing	upregulated	missing	missing	1	0
MSTN	missing	missing	upregulated	missing	1	0
MSX1	missing	missing	upregulated	upregulated	2	0
MT1A	upregulated	missing	missing	missing	1	0
MT1E	upregulated	missing	upregulated	missing	2	0
MT1F	upregulated	missing	missing	missing	1	0
MT1G	upregulated	missing	missing	missing	1	0
MT1H	upregulated	missing	missing	missing	1	0
MT1L	upregulated	missing	missing	missing	1	0
MT1M	upregulated	missing	missing	missing	1	0
MT1X	upregulated	missing	missing	missing	1	0
MT2A	upregulated	missing	missing	missing	1	0
MTA3	missing	missing	missing	downregulated	0	1
MTBP	missing	missing	downregulated	missing	0	1
MTCH1	missing	missing	upregulated	missing	1	0
MTCH2	missing	missing	missing	downregulated	0	1
MTHFD2	upregulated	missing	missing	upregulated	2	0
MTMR11	missing	missing	missing	upregulated	1	0
MTMR7	missing	missing	missing	downregulated	0	1
MTMR9	missing	missing	missing	downregulated	0	1
MTND6P14	missing	missing	upregulated	missing	1	0
MTRF1L	missing	missing	missing	upregulated	1	0
MTRNR2L1	missing	missing	missing	upregulated	1	0
MTRNR2L2	missing	missing	missing	downregulated	0	1
MTSS2	upregulated	missing	upregulated	upregulated	3	0
MTUS1-DT	upregulated	missing	missing	upregulated	2	0
MTUS2-AS2	missing	missing	missing	downregulated	0	1
MTX1	missing	missing	upregulated	missing	1	0
MTX2	missing	missing	missing	downregulated	0	1
MUC1	upregulated	missing	missing	upregulated	2	0
MUC4	missing	missing	upregulated	upregulated	2	0
MUSK	downregulated	missing	missing	missing	0	1
MVP-DT	missing	missing	upregulated	missing	1	0
MXI1	upregulated	missing	missing	upregulated	2	0
MXRA7	downregulated	missing	missing	missing	0	1
MYADML2	missing	missing	missing	downregulated	0	1
MYB	downregulated	missing	missing	missing	0	1
MYBPC1	upregulated	upregulated	missing	missing	2	0
MYBPH	missing	missing	missing	upregulated	1	0
MYC	upregulated	missing	missing	missing	1	0
MYCBP2	downregulated	missing	missing	missing	0	1
MYCT1	missing	missing	missing	upregulated	1	0
MYDGF	missing	missing	upregulated	missing	1	0
MYG1	missing	missing	missing	downregulated	0	1
MYH10	downregulated	missing	missing	downregulated	0	2
MYH11	missing	missing	upregulated	upregulated	2	0
MYH9-DT	missing	missing	upregulated	missing	1	0
MYL12A	missing	missing	missing	upregulated	1	0
MYL12B	downregulated	missing	missing	missing	0	1
MYL6	missing	missing	upregulated	missing	1	0
MYL9	missing	missing	upregulated	upregulated	2	0
MYLK-AS2	missing	missing	downregulated	missing	0	1
MYLK3	downregulated	missing	missing	missing	0	1
MYO16-AS2	missing	missing	missing	downregulated	0	1
MYO1E	missing	missing	missing	upregulated	1	0
MYO1F	upregulated	missing	missing	missing	1	0
MYO1G	upregulated	downregulated	missing	missing	1	1
MYO5A	missing	missing	missing	downregulated	0	1
MYO5B	downregulated	missing	missing	downregulated	0	2
MYO5C	missing	missing	missing	upregulated	1	0
MYO9B	upregulated	missing	missing	missing	1	0
MYOCD-AS1	missing	missing	missing	upregulated	1	0
MYOT	upregulated	missing	upregulated	upregulated	3	0
MYPN	downregulated	missing	missing	downregulated	0	2
MYRF-AS1	upregulated	missing	missing	missing	1	0
MYSM1	missing	missing	upregulated	missing	1	0
MYT1L-AS1	downregulated	missing	missing	downregulated	0	2
MZT1	missing	missing	upregulated	missing	1	0
MZT2B	missing	missing	upregulated	missing	1	0
N4BP2	missing	missing	upregulated	missing	1	0
N4BP2L2	missing	missing	downregulated	missing	0	1
NAA16	missing	missing	missing	upregulated	1	0
NAA20	downregulated	missing	missing	missing	0	1
NAA25	missing	missing	upregulated	missing	1	0
NAA80	missing	missing	upregulated	missing	1	0
NAALAD2	missing	missing	upregulated	missing	1	0
NAALADL1	missing	missing	missing	upregulated	1	0
NAB1	missing	missing	missing	upregulated	1	0
NACC1	missing	missing	upregulated	missing	1	0
NACC2	upregulated	missing	missing	missing	1	0
NAGPA-AS1	missing	missing	missing	downregulated	0	1
NAGS	missing	missing	missing	upregulated	1	0
NALF1	missing	missing	missing	downregulated	0	1
NAP1L1	missing	missing	missing	upregulated	1	0
NAP1L2	downregulated	missing	missing	missing	0	1
NAP1L5	missing	missing	missing	downregulated	0	1
NAPA-AS1	downregulated	missing	missing	downregulated	0	2
NAPG	missing	missing	upregulated	downregulated	1	1
NAPSA	upregulated	missing	missing	missing	1	0
NAPSB	upregulated	missing	missing	missing	1	0
NASP	missing	missing	upregulated	missing	1	0
NAT14	missing	missing	upregulated	missing	1	0
NAT8L	missing	missing	upregulated	downregulated	1	1
NAV3	missing	missing	missing	downregulated	0	1
NBEA	missing	missing	missing	downregulated	0	1
NBEAL2	missing	missing	missing	upregulated	1	0
NBPF10	missing	missing	missing	upregulated	1	0
NCALD	missing	missing	missing	downregulated	0	1
NCAN	downregulated	missing	upregulated	downregulated	1	2
NCAPG	upregulated	missing	missing	missing	1	0
NCBP3	missing	missing	missing	upregulated	1	0
NCDN	downregulated	missing	upregulated	downregulated	1	2
NCEH1	downregulated	missing	missing	downregulated	0	2
NCK2	missing	missing	upregulated	missing	1	0
NCKAP1	downregulated	missing	missing	missing	0	1
NCKAP1L	upregulated	missing	missing	missing	1	0
NCOA3	missing	missing	missing	downregulated	0	1
NCOR2	missing	missing	upregulated	missing	1	0
NCR3LG1	missing	missing	missing	downregulated	0	1
NCS1	missing	missing	missing	downregulated	0	1
NDFIP1	downregulated	missing	missing	downregulated	0	2
NDFIP2-AS1	downregulated	missing	missing	downregulated	0	2
NDN	downregulated	missing	missing	downregulated	0	2
NDRG1	upregulated	missing	missing	missing	1	0
NDRG3	downregulated	missing	missing	downregulated	0	2
NDRG4	downregulated	missing	missing	downregulated	0	2
NDST3	downregulated	missing	missing	downregulated	0	2
NDST4	missing	missing	upregulated	missing	1	0
NDUFA1	downregulated	missing	missing	missing	0	1
NDUFA12	missing	missing	downregulated	missing	0	1
NDUFA3	downregulated	missing	missing	downregulated	0	2
NDUFA4	downregulated	missing	missing	missing	0	1
NDUFA5	downregulated	missing	missing	downregulated	0	2
NDUFA7	missing	missing	missing	downregulated	0	1
NDUFA8	downregulated	missing	missing	downregulated	0	2
NDUFA9	downregulated	missing	missing	downregulated	0	2
NDUFAB1	downregulated	missing	missing	downregulated	0	2
NDUFAF4	missing	missing	upregulated	missing	1	0
NDUFAF5	missing	missing	upregulated	missing	1	0
NDUFB1	downregulated	missing	missing	missing	0	1
NDUFB3	missing	missing	missing	downregulated	0	1
NDUFB5	downregulated	missing	upregulated	downregulated	1	2
NDUFB8	downregulated	missing	missing	missing	0	1
NDUFB9	downregulated	missing	upregulated	missing	1	1
NDUFC1	missing	missing	upregulated	missing	1	0
NDUFC2-KCTD14	missing	missing	missing	downregulated	0	1
NDUFS1	downregulated	missing	missing	downregulated	0	2
NDUFS3	missing	missing	missing	downregulated	0	1
NDUFS5	downregulated	missing	missing	downregulated	0	2
NDUFS6	missing	missing	upregulated	missing	1	0
NDUFV1-DT	downregulated	missing	missing	missing	0	1
NEAT1	upregulated	missing	missing	missing	1	0
NECAB1	downregulated	missing	missing	downregulated	0	2
NECAB2	missing	missing	missing	downregulated	0	1
NECAB3	missing	missing	missing	downregulated	0	1
NECAP1	downregulated	missing	missing	downregulated	0	2
NECAP2	missing	missing	upregulated	missing	1	0
NEDD4	missing	missing	missing	upregulated	1	0
NEDD8	downregulated	missing	missing	missing	0	1
NEDD9	missing	missing	missing	upregulated	1	0
