gene_symbol,gene_id,is_upregulated_in_AD,brain_region,study,quality_assessment
ATP6V1E1,Entrez ID 23109,FALSE,Cortex tissues,Lee et al.,1.6
ARHGEF3,Entrez ID 116987,FALSE,Cortex tissues,Lee et al.,1.6
FAM50B,Entrez ID 54094,FALSE,Cortex tissues,Lee et al.,1.6
PDE2A,Entrez ID 7102,FALSE,Cortex tissues,Lee et al.,1.6
DRP2,Entrez ID 3488,FALSE,Cortex tissues,Lee et al.,1.6
BRE,Entrez ID 10140,FALSE,Cortex tissues,Lee et al.,1.6
SPEF1,Entrez ID 29116,FALSE,Cortex tissues,Lee et al.,1.6
SEZ6L2,Entrez ID 1059,FALSE,Cortex tissues,Lee et al.,1.6
MDH2,Entrez ID 4792,FALSE,Cortex tissues,Lee et al.,1.6
TRIB1,Entrez ID 1674,FALSE,Cortex tissues,Lee et al.,1.6
JPH4,Entrez ID 768222,FALSE,Cortex tissues,Lee et al.,1.6
PSMA5,Entrez ID 9696,FALSE,Cortex tissues,Lee et al.,1.6
PLB1,Entrez ID 30010,FALSE,Cortex tissues,Lee et al.,1.6
CYP46A1,Entrez ID 112476,FALSE,Cortex tissues,Lee et al.,1.6
TFR2,Entrez ID 144717,FALSE,Cortex tissues,Lee et al.,1.6
ZWILCH,Entrez ID 6776,FALSE,Cortex tissues,Lee et al.,1.6
LOC100127983,Entrez ID 221184,FALSE,Cortex tissues,Lee et al.,1.6
ATXN10,Entrez ID 6456,FALSE,Cortex tissues,Lee et al.,1.6
SGIP1,Entrez ID 57553,FALSE,Cortex tissues,Lee et al.,1.6
FGF14,Entrez ID 7802,FALSE,Cortex tissues,Lee et al.,1.6
VIPR1,Entrez ID 5158,FALSE,Cortex tissues,Lee et al.,1.6
SNCB,Entrez ID 51314,FALSE,Cortex tissues,Lee et al.,1.6
KCNAB2,Entrez ID 100847026,FALSE,Cortex tissues,Lee et al.,1.6
ATP5G3,Entrez ID 11135,FALSE,Cortex tissues,Lee et al.,1.6
ARHGAP44,Entrez ID 154790,FALSE,Cortex tissues,Lee et al.,1.6
EFR3B,Entrez ID 1174,FALSE,Cortex tissues,Lee et al.,1.6
PTPRG-AS1,Entrez ID 347735,FALSE,Cortex tissues,Lee et al.,1.6
C2CD4C,Entrez ID 187,FALSE,Cortex tissues,Lee et al.,1.6
SNRNP27,Entrez ID 7082,FALSE,Cortex tissues,Lee et al.,1.6
NOS1AP,Entrez ID 9277,FALSE,Cortex tissues,Lee et al.,1.6
PRC1,Entrez ID 3481,FALSE,Cortex tissues,Lee et al.,1.6
FUNDC1,Entrez ID 23678,FALSE,Cortex tissues,Lee et al.,1.6
COPS7A,Entrez ID 56963,FALSE,Cortex tissues,Lee et al.,1.6
PSEN2,Entrez ID 441251,FALSE,Cortex tissues,Lee et al.,1.6
PARK2,Entrez ID 10597,FALSE,Cortex tissues,Lee et al.,1.6
SLC1A4,Entrez ID 27338,FALSE,Cortex tissues,Lee et al.,1.6
RAP1GAP2,Entrez ID 64130,FALSE,Cortex tissues,Lee et al.,1.6
STOML1,Entrez ID 30845,FALSE,Cortex tissues,Lee et al.,1.6
NEURL,Entrez ID 4826,FALSE,Cortex tissues,Lee et al.,1.6
CACNG8,Entrez ID 4697,FALSE,Cortex tissues,Lee et al.,1.6
MZT2A,Entrez ID 51650,FALSE,Cortex tissues,Lee et al.,1.6
GSPT2,Entrez ID 100133331,FALSE,Cortex tissues,Lee et al.,1.6
ASIC2,Entrez ID 6608,FALSE,Cortex tissues,Lee et al.,1.6
NRG3,Entrez ID 9890,FALSE,Cortex tissues,Lee et al.,1.6
UBE2V2,Entrez ID 9537,FALSE,Cortex tissues,Lee et al.,1.6
CDK5R1,Entrez ID 5223,FALSE,Cortex tissues,Lee et al.,1.6
SYNPO,Entrez ID 100422854,FALSE,Cortex tissues,Lee et al.,1.6
MTX2,Entrez ID 29780,FALSE,Cortex tissues,Lee et al.,1.6
BZRAP1-AS1,Entrez ID 140689,FALSE,Cortex tissues,Lee et al.,1.6
IDS,Entrez ID 282969,FALSE,Cortex tissues,Lee et al.,1.6
KIAA0513,Entrez ID 79006,FALSE,Cortex tissues,Lee et al.,1.6
FAM5B,Entrez ID 64409,FALSE,Cortex tissues,Lee et al.,1.6
DDX10,Entrez ID 201292,FALSE,Cortex tissues,Lee et al.,1.6
MRPL30,Entrez ID 283149,FALSE,Cortex tissues,Lee et al.,1.6
FBXL2,Entrez ID 119504,FALSE,Cortex tissues,Lee et al.,1.6
ANKRD34A,Entrez ID 11017,FALSE,Cortex tissues,Lee et al.,1.6
CERS6-AS1,Entrez ID 10777,FALSE,Cortex tissues,Lee et al.,1.6
RABL5,Entrez ID 653316,FALSE,Cortex tissues,Lee et al.,1.6
PDZD7,Entrez ID 23354,FALSE,Cortex tissues,Lee et al.,1.6
KLC1,Entrez ID 4502,FALSE,Cortex tissues,Lee et al.,1.6
HENMT1,Entrez ID 57718,FALSE,Cortex tissues,Lee et al.,1.6
MAPK9,Entrez ID 25777,FALSE,Cortex tissues,Lee et al.,1.6
CACNA1B,Entrez ID 2790,FALSE,Cortex tissues,Lee et al.,1.6
CACNB3,Entrez ID 7461,FALSE,Cortex tissues,Lee et al.,1.6
ACTR10,Entrez ID 54753,FALSE,Cortex tissues,Lee et al.,1.6
KPNA2,Entrez ID 54407,FALSE,Cortex tissues,Lee et al.,1.6
AK5,Entrez ID 100616146,FALSE,Cortex tissues,Lee et al.,1.6
ABLIM2,Entrez ID 1593,FALSE,Cortex tissues,Lee et al.,1.6
RUNDC3B,Entrez ID 57687,FALSE,Cortex tissues,Lee et al.,1.6
PET112,Entrez ID 518,FALSE,Cortex tissues,Lee et al.,1.6
TMEM242,Entrez ID 338328,FALSE,Cortex tissues,Lee et al.,1.6
ABRACL,Entrez ID 445571,FALSE,Cortex tissues,Lee et al.,1.6
THOC7,Entrez ID 114881,FALSE,Cortex tissues,Lee et al.,1.6
CADPS,Entrez ID 8851,FALSE,Cortex tissues,Lee et al.,1.6
C16orf45,Entrez ID 378938,FALSE,Cortex tissues,Lee et al.,1.6
THBS4,Entrez ID 2180,FALSE,Cortex tissues,Lee et al.,1.6
PLAT,Entrez ID 124925,FALSE,Cortex tissues,Lee et al.,1.6
RNF112,Entrez ID 148252,FALSE,Cortex tissues,Lee et al.,1.6
BCAS2,Entrez ID 10965,FALSE,Cortex tissues,Lee et al.,1.6
CMIP,Entrez ID 4852,FALSE,Cortex tissues,Lee et al.,1.6
ACSL5,Entrez ID 645323,FALSE,Cortex tissues,Lee et al.,1.6
KRT17,Entrez ID 3872,FALSE,Cortex tissues,Lee et al.,1.6
DNM1,Entrez ID 389289,FALSE,Cortex tissues,Lee et al.,1.6
PDE7B,Entrez ID 220108,FALSE,Cortex tissues,Lee et al.,1.6
PRKAA2,Entrez ID 10044,FALSE,Cortex tissues,Lee et al.,1.6
PGAM1,Entrez ID 5098,FALSE,Cortex tissues,Lee et al.,1.6
ATP6V0E2,Entrez ID 100113403,FALSE,Cortex tissues,Lee et al.,1.6
AP3B2,Entrez ID 6854,FALSE,Cortex tissues,Lee et al.,1.6
NANS,Entrez ID 2123,FALSE,Cortex tissues,Lee et al.,1.6
TMEM163,Entrez ID 9231,FALSE,Cortex tissues,Lee et al.,1.6
SLC25A22,Entrez ID 10815,FALSE,Cortex tissues,Lee et al.,1.6
GPR116,Entrez ID 6632,FALSE,Cortex tissues,Lee et al.,1.6
RRAGB,Entrez ID 389337,FALSE,Cortex tissues,Lee et al.,1.6
SULT1A1,Entrez ID 1793,FALSE,Cortex tissues,Lee et al.,1.6
PPFIA4,Entrez ID 10521,FALSE,Cortex tissues,Lee et al.,1.6
BPHL,Entrez ID 114792,FALSE,Cortex tissues,Lee et al.,1.6
ATP6V0C,Entrez ID 692072,FALSE,Cortex tissues,Lee et al.,1.6
NEDD8-MDP1,Entrez ID 80305,FALSE,Cortex tissues,Lee et al.,1.6
LAP3,Entrez ID 53358,FALSE,Cortex tissues,Lee et al.,1.6
APOO,Entrez ID 81617,FALSE,Cortex tissues,Lee et al.,1.6
E2F3,Entrez ID 149111,FALSE,Cortex tissues,Lee et al.,1.6
MRPL2,Entrez ID 9618,FALSE,Cortex tissues,Lee et al.,1.6
PTGES3L-AARSD1,Entrez ID 26521,FALSE,Cortex tissues,Lee et al.,1.6
LHFPL4,Entrez ID 10969,FALSE,Cortex tissues,Lee et al.,1.6
ALAS1,Entrez ID 6866,FALSE,Cortex tissues,Lee et al.,1.6
CCND2,Entrez ID 56896,FALSE,Cortex tissues,Lee et al.,1.6
DIRAS1,Entrez ID 10632,FALSE,Cortex tissues,Lee et al.,1.6
GNAL,Entrez ID 51477,FALSE,Cortex tissues,Lee et al.,1.6
PET117,Entrez ID 3993,FALSE,Cortex tissues,Lee et al.,1.6
CACNA1E,Entrez ID 1298,FALSE,Cortex tissues,Lee et al.,1.6
LINGO1,Entrez ID 8507,FALSE,Cortex tissues,Lee et al.,1.6
LOC100131825,Entrez ID 4747,FALSE,Cortex tissues,Lee et al.,1.6
ALPL,Entrez ID 249,FALSE,Cortex tissues,Lee et al.,1.6
CTSO,Entrez ID 25874,FALSE,Cortex tissues,Lee et al.,1.6
NDFIP1,Entrez ID 7280,FALSE,Cortex tissues,Lee et al.,1.6
NDUFC2-KCTD14,Entrez ID 3747,FALSE,Cortex tissues,Lee et al.,1.6
BDH1,Entrez ID 65125,FALSE,Cortex tissues,Lee et al.,1.6
MRPL15,Entrez ID 9742,FALSE,Cortex tissues,Lee et al.,1.6
NDN,Entrez ID 644,FALSE,Cortex tissues,Lee et al.,1.6
BZW2,Entrez ID 100534595,FALSE,Cortex tissues,Lee et al.,1.6
NCAN,Entrez ID 136319,FALSE,Cortex tissues,Lee et al.,1.6
CEBPA-AS1,Entrez ID 140766,FALSE,Cortex tissues,Lee et al.,1.6
WARS,Entrez ID 51400,FALSE,Cortex tissues,Lee et al.,1.6
LDHA,Entrez ID 23612,FALSE,Cortex tissues,Lee et al.,1.6
SLC4A1AP,Entrez ID 2065,FALSE,Cortex tissues,Lee et al.,1.6
LINC00672,Entrez ID 29789,FALSE,Cortex tissues,Lee et al.,1.6
GNG10,Entrez ID 64110,FALSE,Cortex tissues,Lee et al.,1.6
DAK,Entrez ID 2006,FALSE,Cortex tissues,Lee et al.,1.6
DNAJC25-GNG10,Entrez ID 10147,FALSE,Cortex tissues,Lee et al.,1.6
TM2D3,Entrez ID 91369,FALSE,Cortex tissues,Lee et al.,1.6
C1orf216,Entrez ID 165,FALSE,Cortex tissues,Lee et al.,1.6
AARSD1,Entrez ID 80975,FALSE,Cortex tissues,Lee et al.,1.6
SHISA6,Entrez ID 29919,FALSE,Cortex tissues,Lee et al.,1.6
GRIA1,Entrez ID 30812,FALSE,Cortex tissues,Lee et al.,1.6
CCDC136,Entrez ID 65095,FALSE,Cortex tissues,Lee et al.,1.6
VWA5A,Entrez ID 26468,FALSE,Cortex tissues,Lee et al.,1.6
SEH1L,Entrez ID 29887,FALSE,Cortex tissues,Lee et al.,1.6
LNP1,Entrez ID 1607,FALSE,Cortex tissues,Lee et al.,1.6
HEY1,Entrez ID 55222,FALSE,Cortex tissues,Lee et al.,1.6
ZNF883,Entrez ID 1524,FALSE,Cortex tissues,Lee et al.,1.6
SYT12,Entrez ID 387521,FALSE,Cortex tissues,Lee et al.,1.6
C9orf129,Entrez ID 1371,FALSE,Cortex tissues,Lee et al.,1.6
GABBR1,Entrez ID 54863,FALSE,Cortex tissues,Lee et al.,1.6
CPLX1,Entrez ID 10815,FALSE,Cortex tissues,Lee et al.,1.6
TFB1M,Entrez ID 10807,FALSE,Cortex tissues,Lee et al.,1.6
KIAA1279,Entrez ID 4337,FALSE,Cortex tissues,Lee et al.,1.6
MAGEH1,Entrez ID 89849,FALSE,Cortex tissues,Lee et al.,1.6
MKRN1,Entrez ID 9382,FALSE,Cortex tissues,Lee et al.,1.6
PDE1B,Entrez ID 5110,FALSE,Cortex tissues,Lee et al.,1.6
GNA14,Entrez ID 116535,FALSE,Cortex tissues,Lee et al.,1.6
GHITM,Entrez ID 92154,FALSE,Cortex tissues,Lee et al.,1.6
ATP5H,Entrez ID 51606,FALSE,Cortex tissues,Lee et al.,1.6
LRRC20,Entrez ID 388610,FALSE,Cortex tissues,Lee et al.,1.6
PKIA,Entrez ID 3418,FALSE,Cortex tissues,Lee et al.,1.6
CACNA1H,Entrez ID 9912,FALSE,Cortex tissues,Lee et al.,1.6
LETMD1,Entrez ID 644596,FALSE,Cortex tissues,Lee et al.,1.6
C3orf70,Entrez ID 26240,FALSE,Cortex tissues,Lee et al.,1.6
ACP1,Entrez ID 23589,FALSE,Cortex tissues,Lee et al.,1.6
PLCH2,Entrez ID 150356,FALSE,Cortex tissues,Lee et al.,1.6
FARSB,Entrez ID 9903,FALSE,Cortex tissues,Lee et al.,1.6
RTN3,Entrez ID 100130933,FALSE,Cortex tissues,Lee et al.,1.6
GSTA4,Entrez ID 7799,FALSE,Cortex tissues,Lee et al.,1.6
DENND6B,Entrez ID 283999,FALSE,Cortex tissues,Lee et al.,1.6
NPEPL1,Entrez ID 10131,FALSE,Cortex tissues,Lee et al.,1.6
ACOT2,Entrez ID 91775,FALSE,Cortex tissues,Lee et al.,1.6
TRAPPC6B,Entrez ID 83986,FALSE,Cortex tissues,Lee et al.,1.6
HIGD1A,Entrez ID 51090,FALSE,Cortex tissues,Lee et al.,1.6
C5orf22,Entrez ID 10432,FALSE,Cortex tissues,Lee et al.,1.6
SMAP2,Entrez ID 4340,FALSE,Cortex tissues,Lee et al.,1.6
GRIA3,Entrez ID 9746,FALSE,Cortex tissues,Lee et al.,1.6
LOC93622,Entrez ID 159195,FALSE,Cortex tissues,Lee et al.,1.6
IQSEC2,Entrez ID 6750,FALSE,Cortex tissues,Lee et al.,1.6
STMN1,Entrez ID 7001,FALSE,Cortex tissues,Lee et al.,1.6
BOLA3,Entrez ID 2859,FALSE,Cortex tissues,Lee et al.,1.6
PRDM2,Entrez ID 51451,FALSE,Cortex tissues,Lee et al.,1.6
PPFIA2,Entrez ID 55152,FALSE,Cortex tissues,Lee et al.,1.6
STRC,Entrez ID 81832,FALSE,Cortex tissues,Lee et al.,1.6
C2CD2L,Entrez ID 4047,FALSE,Cortex tissues,Lee et al.,1.6
PPFIA3,Entrez ID 2874,FALSE,Cortex tissues,Lee et al.,1.6
NHP2L1,Entrez ID 780,FALSE,Cortex tissues,Lee et al.,1.6
TMEM158,Entrez ID 79990,FALSE,Cortex tissues,Lee et al.,1.6
HRH1,Entrez ID 100272216,FALSE,Cortex tissues,Lee et al.,1.6
SLC9A7,Entrez ID 2263,FALSE,Cortex tissues,Lee et al.,1.6
FAM211A,Entrez ID 9080,FALSE,Cortex tissues,Lee et al.,1.6
ATP6AP1,Entrez ID 116448,FALSE,Cortex tissues,Lee et al.,1.6
ABCC8,Entrez ID 79778,FALSE,Cortex tissues,Lee et al.,1.6
ATCAY,Entrez ID 7534,FALSE,Cortex tissues,Lee et al.,1.6
NDUFC2,Entrez ID 5121,FALSE,Cortex tissues,Lee et al.,1.6
KCTD4,Entrez ID 80273,FALSE,Cortex tissues,Lee et al.,1.6
OGDHL,Entrez ID 28984,FALSE,Cortex tissues,Lee et al.,1.6
MAGEF1,Entrez ID 340075,FALSE,Cortex tissues,Lee et al.,1.6
SLC4A3,Entrez ID 25830,FALSE,Cortex tissues,Lee et al.,1.6
FBLL1,Entrez ID 55860,FALSE,Cortex tissues,Lee et al.,1.6
RIN1,Entrez ID 26147,FALSE,Cortex tissues,Lee et al.,1.6
GGCT,Entrez ID 54961,FALSE,Cortex tissues,Lee et al.,1.6
RNF187,Entrez ID 100302285,FALSE,Cortex tissues,Lee et al.,1.6
KIAA1875,Entrez ID 343990,FALSE,Cortex tissues,Lee et al.,1.6
ATP5C1,Entrez ID 219927,FALSE,Cortex tissues,Lee et al.,1.6
PRKAR1B,Entrez ID 441081,FALSE,Cortex tissues,Lee et al.,1.6
ADARB1,Entrez ID 6525,FALSE,Cortex tissues,Lee et al.,1.6
DTNB,Entrez ID 677,FALSE,Cortex tissues,Lee et al.,1.6
SPRYD7,Entrez ID 3872,FALSE,Cortex tissues,Lee et al.,1.6
CHCHD7,Entrez ID 3049,FALSE,Cortex tissues,Lee et al.,1.6
TMEM186,Entrez ID 353149,FALSE,Cortex tissues,Lee et al.,1.6
TUBB,Entrez ID 724033,FALSE,Cortex tissues,Lee et al.,1.6
BLVRA,Entrez ID 5889,FALSE,Cortex tissues,Lee et al.,1.6
CDC37L1,Entrez ID 5382,FALSE,Cortex tissues,Lee et al.,1.6
MRPL55,Entrez ID 26099,FALSE,Cortex tissues,Lee et al.,1.6
EHD3,Entrez ID 55502,FALSE,Cortex tissues,Lee et al.,1.6
GSTZ1,Entrez ID 414918,FALSE,Cortex tissues,Lee et al.,1.6
MORN4,Entrez ID 28232,FALSE,Cortex tissues,Lee et al.,1.6
STAT1,Entrez ID 23164,FALSE,Cortex tissues,Lee et al.,1.6
SUGP2,Entrez ID 2550,FALSE,Cortex tissues,Lee et al.,1.6
LIN7B,Entrez ID 8622,FALSE,Cortex tissues,Lee et al.,1.6
PRRT2,Entrez ID 478,FALSE,Cortex tissues,Lee et al.,1.6
TSR2,Entrez ID 55819,FALSE,Cortex tissues,Lee et al.,1.6
MYL12B,Entrez ID 256281,FALSE,Cortex tissues,Lee et al.,1.6
SMARCA2,Entrez ID 100422885,FALSE,Cortex tissues,Lee et al.,1.6
EBP,Entrez ID 26576,FALSE,Cortex tissues,Lee et al.,1.6
MRPS33,Entrez ID 79364,FALSE,Cortex tissues,Lee et al.,1.6
EIF2B3,Entrez ID 64773,FALSE,Cortex tissues,Lee et al.,1.6
FRA10AC1,Entrez ID 118924,FALSE,Cortex tissues,Lee et al.,1.6
FARSA,Entrez ID 10493,FALSE,Cortex tissues,Lee et al.,1.6
BCR,Entrez ID 8514,FALSE,Cortex tissues,Lee et al.,1.6
NDUFB2-AS1,Entrez ID 3293,FALSE,Cortex tissues,Lee et al.,1.6
SAMD14,Entrez ID 6900,FALSE,Cortex tissues,Lee et al.,1.6
FAM49A,Entrez ID 8140,FALSE,Cortex tissues,Lee et al.,1.6
FXYD7,Entrez ID 534,FALSE,Cortex tissues,Lee et al.,1.6
DYRK1B,Entrez ID 9840,FALSE,Cortex tissues,Lee et al.,1.6
TTC8,Entrez ID 11261,FALSE,Cortex tissues,Lee et al.,1.6
SNRPD1,Entrez ID 84173,FALSE,Cortex tissues,Lee et al.,1.6
SPCS1,Entrez ID 285093,FALSE,Cortex tissues,Lee et al.,1.6
OTUB1,Entrez ID 196500,FALSE,Cortex tissues,Lee et al.,1.6
PI4KA,Entrez ID 498,FALSE,Cortex tissues,Lee et al.,1.6
RASL10A,Entrez ID 10268,FALSE,Cortex tissues,Lee et al.,1.6
NIT2,Entrez ID 93129,FALSE,Cortex tissues,Lee et al.,1.6
HSD11B1L,Entrez ID 79948,FALSE,Cortex tissues,Lee et al.,1.6
TPMT,Entrez ID 55902,FALSE,Cortex tissues,Lee et al.,1.6
FBXW7,Entrez ID 4134,FALSE,Cortex tissues,Lee et al.,1.6
FAM103A1,Entrez ID 126272,FALSE,Cortex tissues,Lee et al.,1.6
PIN4,Entrez ID 2903,FALSE,Cortex tissues,Lee et al.,1.6
PRPF19,Entrez ID 4701,FALSE,Cortex tissues,Lee et al.,1.6
WDR46,Entrez ID 23475,FALSE,Cortex tissues,Lee et al.,1.6
PITHD1,Entrez ID 26289,FALSE,Cortex tissues,Lee et al.,1.6
ANKRD19P,Entrez ID 3065,FALSE,Cortex tissues,Lee et al.,1.6
LY6E,Entrez ID 54550,FALSE,Cortex tissues,Lee et al.,1.6
LANCL2,Entrez ID 22876,FALSE,Cortex tissues,Lee et al.,1.6
PDZD11,Entrez ID 81929,FALSE,Cortex tissues,Lee et al.,1.6
NSA2,Entrez ID 2258,FALSE,Cortex tissues,Lee et al.,1.6
ATP5L,Entrez ID 28972,FALSE,Cortex tissues,Lee et al.,1.6
KLHDC4,Entrez ID 118738,FALSE,Cortex tissues,Lee et al.,1.6
PDE8B,Entrez ID 28999,FALSE,Cortex tissues,Lee et al.,1.6
UBQLN2,Entrez ID 828,FALSE,Cortex tissues,Lee et al.,1.6
FXYD6,Entrez ID 4155,FALSE,Cortex tissues,Lee et al.,1.6
PIN1,Entrez ID 286262,FALSE,Cortex tissues,Lee et al.,1.6
TFPT,Entrez ID 8497,FALSE,Cortex tissues,Lee et al.,1.6
NDUFS4,Entrez ID 118924,FALSE,Cortex tissues,Lee et al.,1.6
GSS,Entrez ID 58504,FALSE,Cortex tissues,Lee et al.,1.6
NFU1,Entrez ID 389332,FALSE,Cortex tissues,Lee et al.,1.6
UBE2N,Entrez ID 27106,FALSE,Cortex tissues,Lee et al.,1.6
ATP5J,Entrez ID 8120,FALSE,Cortex tissues,Lee et al.,1.6
TUBB4B,Entrez ID 6853,FALSE,Cortex tissues,Lee et al.,1.6
BAIAP3,Entrez ID 55859,FALSE,Cortex tissues,Lee et al.,1.6
KCTD1,Entrez ID 6509,FALSE,Cortex tissues,Lee et al.,1.6
TOMM20,Entrez ID 10409,FALSE,Cortex tissues,Lee et al.,1.6
SPRYD3,Entrez ID 9796,FALSE,Cortex tissues,Lee et al.,1.6
NDEL1,Entrez ID 444,FALSE,Cortex tissues,Lee et al.,1.6
INPP4A,Entrez ID 84886,FALSE,Cortex tissues,Lee et al.,1.6
GNAO1,Entrez ID 10476,FALSE,Cortex tissues,Lee et al.,1.6
AFG3L2,Entrez ID 8508,FALSE,Cortex tissues,Lee et al.,1.6
SLC41A3,Entrez ID 79017,FALSE,Cortex tissues,Lee et al.,1.6
QPRT,Entrez ID 100134317,FALSE,Cortex tissues,Lee et al.,1.6
TERF2IP,Entrez ID 9737,FALSE,Cortex tissues,Lee et al.,1.6
NDUFS5,Entrez ID 103910,FALSE,Cortex tissues,Lee et al.,1.6
FMNL1,Entrez ID 515,FALSE,Cortex tissues,Lee et al.,1.6
DHDDS,Entrez ID 55701,FALSE,Cortex tissues,Lee et al.,1.6
CHP1,Entrez ID 57580,FALSE,Cortex tissues,Lee et al.,1.6
ATP6V1B2,Entrez ID 55861,FALSE,Cortex tissues,Lee et al.,1.6
UQCRH,Entrez ID 84254,FALSE,Cortex tissues,Lee et al.,1.6
COX7A2L,Entrez ID 5579,FALSE,Cortex tissues,Lee et al.,1.6
C14orf2,Entrez ID 54923,FALSE,Cortex tissues,Lee et al.,1.6
MSRA,Entrez ID 23054,FALSE,Cortex tissues,Lee et al.,1.6
APBA1,Entrez ID 128434,FALSE,Cortex tissues,Lee et al.,1.6
RAB11A,Entrez ID 5582,FALSE,Cortex tissues,Lee et al.,1.6
NUMBL,Entrez ID 9817,FALSE,Cortex tissues,Lee et al.,1.6
CELF5,Entrez ID 30827,FALSE,Cortex tissues,Lee et al.,1.6
HSPB11,Entrez ID 7704,FALSE,Cortex tissues,Lee et al.,1.6
MAMLD1,Entrez ID 84321,FALSE,Cortex tissues,Lee et al.,1.6
ATP5F1,Entrez ID 80213,FALSE,Cortex tissues,Lee et al.,1.6
CHD5,Entrez ID 527,FALSE,Cortex tissues,Lee et al.,1.6
FAM110B,Entrez ID 7551,FALSE,Cortex tissues,Lee et al.,1.6
YJEFN3,Entrez ID 55907,FALSE,Cortex tissues,Lee et al.,1.6
ATP5A1,Entrez ID 5757,FALSE,Cortex tissues,Lee et al.,1.6
NUDT21,Entrez ID 10628,FALSE,Cortex tissues,Lee et al.,1.6
TMEM178A,Entrez ID 10180,FALSE,Cortex tissues,Lee et al.,1.6
RAB6A,Entrez ID 3094,FALSE,Cortex tissues,Lee et al.,1.6
MRPS23,Entrez ID 50650,FALSE,Cortex tissues,Lee et al.,1.6
LCMT1,Entrez ID 667,FALSE,Cortex tissues,Lee et al.,1.6
CAMK2N2,Entrez ID 6385,FALSE,Cortex tissues,Lee et al.,1.6
MTPN,Entrez ID 4499,FALSE,Cortex tissues,Lee et al.,1.6
LUZP6,Entrez ID 81628,FALSE,Cortex tissues,Lee et al.,1.6
LIMK1,Entrez ID 128308,FALSE,Cortex tissues,Lee et al.,1.6
TSSC1,Entrez ID 3693,FALSE,Cortex tissues,Lee et al.,1.6
F8A1,Entrez ID 1031,FALSE,Cortex tissues,Lee et al.,1.6
TCEB1,Entrez ID 144348,FALSE,Cortex tissues,Lee et al.,1.6
NUDT2,Entrez ID 1124,FALSE,Cortex tissues,Lee et al.,1.6
FDX1L,Entrez ID 51154,FALSE,Cortex tissues,Lee et al.,1.6
GLRX5,Entrez ID 9610,FALSE,Cortex tissues,Lee et al.,1.6
BLOC1S2,Entrez ID 23114,FALSE,Cortex tissues,Lee et al.,1.6
NDUFA7,Entrez ID 57701,FALSE,Cortex tissues,Lee et al.,1.6
SGSM1,Entrez ID 23229,FALSE,Cortex tissues,Lee et al.,1.6
PRKAG1,Entrez ID 5571,FALSE,Cortex tissues,Lee et al.,1.6
SEMA6B,Entrez ID 84504,FALSE,Cortex tissues,Lee et al.,1.6
UBE2S,Entrez ID 114787,FALSE,Cortex tissues,Lee et al.,1.6
HINT1,Entrez ID 283131,FALSE,Cortex tissues,Lee et al.,1.6
UQCRFS1,Entrez ID 5440,FALSE,Cortex tissues,Lee et al.,1.6
TTC7B,Entrez ID 51299,FALSE,Cortex tissues,Lee et al.,1.6
AMN1,Entrez ID 2745,FALSE,Cortex tissues,Lee et al.,1.6
NRSN2,Entrez ID 1742,FALSE,Cortex tissues,Lee et al.,1.6
ANAPC13,Entrez ID 132299,FALSE,Cortex tissues,Lee et al.,1.6
TIPRL,Entrez ID 23476,FALSE,Cortex tissues,Lee et al.,1.6
MOCS2,Entrez ID 266812,FALSE,Cortex tissues,Lee et al.,1.6
TIMM8B,Entrez ID 32,FALSE,Cortex tissues,Lee et al.,1.6
ZMAT2,Entrez ID 1804,FALSE,Cortex tissues,Lee et al.,1.6
UBE2V1,Entrez ID 7416,FALSE,Cortex tissues,Lee et al.,1.6
RANBP1,Entrez ID 7975,FALSE,Cortex tissues,Lee et al.,1.6
LMO3,Entrez ID 53826,FALSE,Cortex tissues,Lee et al.,1.6
ALDH5A1,Entrez ID 5305,FALSE,Cortex tissues,Lee et al.,1.6
MRPS28,Entrez ID 7769,FALSE,Cortex tissues,Lee et al.,1.6
GRASP,Entrez ID 7040,FALSE,Cortex tissues,Lee et al.,1.6
RPAIN,Entrez ID 55144,FALSE,Cortex tissues,Lee et al.,1.6
TPGS2,Entrez ID 199,FALSE,Cortex tissues,Lee et al.,1.6
STX16-NPEPL1,Entrez ID 85495,FALSE,Cortex tissues,Lee et al.,1.6
HABP4,Entrez ID 550,FALSE,Cortex tissues,Lee et al.,1.6
DCTN6,Entrez ID 80333,FALSE,Cortex tissues,Lee et al.,1.6
MRTO4,Entrez ID 57449,FALSE,Cortex tissues,Lee et al.,1.6
HNRNPUL2-BSCL2,Entrez ID 100616209,FALSE,Cortex tissues,Lee et al.,1.6
FH,Entrez ID 51031,FALSE,Cortex tissues,Lee et al.,1.6
DUSP26,Entrez ID 4144,FALSE,Cortex tissues,Lee et al.,1.6
ANAPC15,Entrez ID 26128,FALSE,Cortex tissues,Lee et al.,1.6
NUDT14,Entrez ID 8263,FALSE,Cortex tissues,Lee et al.,1.6
MRPL32,Entrez ID 56341,FALSE,Cortex tissues,Lee et al.,1.6
ORC3,Entrez ID 7145,FALSE,Cortex tissues,Lee et al.,1.6
FAM213A,Entrez ID 80142,FALSE,Cortex tissues,Lee et al.,1.6
PTGES2,Entrez ID 388394,FALSE,Cortex tissues,Lee et al.,1.6
DCTN3,Entrez ID 389125,FALSE,Cortex tissues,Lee et al.,1.6
SLC25A3,Entrez ID 6857,FALSE,Cortex tissues,Lee et al.,1.6
