chr	gene_id	gene_symbol	P-value	Zscore	Direction	regulation	heterogeneity_I_squared	heterogeneity_Chi_squared	heterogeneity_degrees_of_freedom_squared	heterogeneity_P-value
1	ENSG00000267561	AC093155.3	6.191e-05	-4.005	---	Not differentially expressed	7.4	2.16	2	0.3396
20	ENSG00000125850	OVOL2	7.588e-08	-5.377	---	Downregulated in AD	0.0	0.242	2	0.8859
1	ENSG00000234863	AC096644.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
4	ENSG00000035720	STAP1	0.4671	-0.727	00-	Not differentially expressed	0.0	0.603	2	0.7395
9	ENSG00000197859	ADAMTSL2	0.3913	-0.857	+--	Not differentially expressed	0.0	0.648	2	0.7231
10	ENSG00000107669	ATE1	4.667e-05	-4.072	---	Not differentially expressed	3.6	2.075	2	0.3543
9	ENSG00000196196	HRCT1	0.622	0.493	0++	Not differentially expressed	0.0	0.152	2	0.9269
1	ENSG00000196427	NBPF4	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000164663	USP49	0.1174	1.566	+++	Not differentially expressed	0.0	1.536	2	0.464
5	ENSG00000113558	SKP1	0.001317	-3.212	---	Not differentially expressed	0.0	0.199	2	0.9054
7	ENSG00000221866	PLXNA4	0.3196	-0.995	+--	Not differentially expressed	0.0	0.947	2	0.6229
9	ENSG00000212695	AL583805.1	0.1021	1.635	-++	Not differentially expressed	73.7	7.605	2	0.02232
9	ENSG00000137124	ALDH1B1	0.05636	-1.908	---	Not differentially expressed	46.5	3.738	2	0.1543
9	ENSG00000147852	VLDLR	0.00122	-3.234	---	Not differentially expressed	0.0	0.02	2	0.9899
9	ENSG00000230207	RPL4P5	0.7963	-0.258	00-	Not differentially expressed	0.0	0.076	2	0.9627
3	ENSG00000283563	AC098650.1	0.4398	0.773	++-	Not differentially expressed	20.0	2.501	2	0.2863
1	ENSG00000143850	PLEKHA6	0.2465	1.159	++-	Not differentially expressed	44.7	3.617	2	0.1639
12	ENSG00000258215	AC078886.1	0.938	-0.078	-+0	Not differentially expressed	0.0	1.57	2	0.4561
17	ENSG00000225190	PLEKHM1	0.08107	1.745	+++	Not differentially expressed	0.0	1.577	2	0.4545
9	ENSG00000122696	SLC25A51	0.3499	-0.935	--+	Not differentially expressed	20.7	2.523	2	0.2833
7	ENSG00000059378	PARP12	0.005278	2.79	+++	Not differentially expressed	0.0	0.777	2	0.6782
9	ENSG00000271225	BNIP3P4	0.9585	0.052	0+-	Not differentially expressed	0.0	0.489	2	0.7832
2	ENSG00000115993	TRAK2	0.2055	1.266	+-+	Not differentially expressed	0.0	1.884	2	0.3899
6	ENSG00000146039	SLC17A4	0.9946	0.007	00+	Not differentially expressed	0.0	0.0	2	1.0
12	ENSG00000139567	ACVRL1	0.001082	3.268	+++	Not differentially expressed	0.0	0.146	2	0.9295
7	ENSG00000135248	FAM71F1	0.6648	-0.433	0--	Not differentially expressed	0.0	0.147	2	0.9293
13	ENSG00000139687	RB1	0.315	1.005	+++	Not differentially expressed	0.0	0.107	2	0.9479
6	ENSG00000185002	RFX6	0.2011	-1.278	00-	Not differentially expressed	0.0	1.866	2	0.3934
11	ENSG00000234964	FABP5P7	0.7629	-0.302	+-0	Not differentially expressed	0.0	1.529	2	0.4655
1	ENSG00000223787	AL354890.1	0.4386	0.775	0+0	Not differentially expressed	0.0	1.681	2	0.4315
2	ENSG00000233702	AC107083.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000143183	TMCO1	0.3216	-0.991	+--	Not differentially expressed	0.0	0.822	2	0.663
19	ENSG00000160994	CCDC105	0.03928	-2.061	00-	Not differentially expressed	58.8	4.85	2	0.08849
12	ENSG00000111341	MGP	0.2742	1.093	+++	Not differentially expressed	0.0	0.088	2	0.9569
11	ENSG00000150787	PTS	0.01118	-2.537	---	Not differentially expressed	23.9	2.629	2	0.2686
X	ENSG00000126970	ZC4H2	0.05274	-1.937	+--	Not differentially expressed	19.7	2.491	2	0.2878
12	ENSG00000258336	DUX4L52	0.9335	-0.083	0-0	Not differentially expressed	0.0	0.02	2	0.9903
7	ENSG00000186088	GSAP	0.0602	-1.879	-+-	Not differentially expressed	34.7	3.062	2	0.2163
21	ENSG00000198743	SLC5A3	0.001159	3.249	+++	Not differentially expressed	0.0	1.916	2	0.3836
16	ENSG00000205423	CNEP1R1	0.6722	-0.423	-+-	Not differentially expressed	25.0	2.668	2	0.2635
22	ENSG00000128271	ADORA2A	1.921e-06	4.762	+++	Not differentially expressed	0.0	1.542	2	0.4626
4	ENSG00000222182	RNA5SP156	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000178951	ZBTB7A	0.7426	0.328	+-+	Not differentially expressed	0.0	1.575	2	0.455
X	ENSG00000182518	FAM104B	0.8322	-0.212	--+	Not differentially expressed	0.0	0.859	2	0.6509
17	ENSG00000141503	MINK1	0.09089	1.691	+++	Not differentially expressed	0.0	1.447	2	0.4851
X	ENSG00000067842	ATP2B3	0.006636	-2.715	+--	Not differentially expressed	51.3	4.11	2	0.1281
7	ENSG00000223721	UQCRFS1P2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000159346	ADIPOR1	0.2406	-1.174	---	Not differentially expressed	0.0	0.416	2	0.8121
14	ENSG00000258722	CKAP2P1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000234025	RBPMS2P1	0.7956	0.259	0++	Not differentially expressed	0.0	0.12	2	0.942
X	ENSG00000277535	AL772284.2	0.6492	-0.455	00-	Not differentially expressed	0.0	0.236	2	0.8886
12	ENSG00000201469	RNA5SP379	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000224203	RPS23P10	0.524	0.637	00+	Not differentially expressed	0.0	0.463	2	0.7932
17	ENSG00000204347	BTBD17	0.3828	0.873	+-+	Not differentially expressed	21.1	2.536	2	0.2813
4	ENSG00000251535	AC079140.4	0.5901	-0.539	0+-	Not differentially expressed	0.0	1.517	2	0.4684
14	ENSG00000198252	STYX	0.1977	1.288	+++	Not differentially expressed	0.0	1.617	2	0.4455
4	ENSG00000183199	HSP90AB3P	0.5031	0.67	0++	Not differentially expressed	0.0	0.36	2	0.8354
18	ENSG00000134757	DSG3	0.6293	-0.483	-+-	Not differentially expressed	0.0	0.599	2	0.7413
19	ENSG00000173480	ZNF417	0.593	0.534	+++	Not differentially expressed	0.0	0.12	2	0.9418
9	ENSG00000030304	MUSK	0.1367	1.488	+++	Not differentially expressed	0.0	1.999	2	0.3681
4	ENSG00000109452	INPP4B	0.891	-0.137	-++	Not differentially expressed	0.0	0.73	2	0.6941
8	ENSG00000254093	PINX1	0.02844	-2.191	---	Not differentially expressed	56.7	4.623	2	0.09911
5	ENSG00000164190	NIPBL	0.001107	3.262	+++	Not differentially expressed	0.0	0.188	2	0.9103
5	ENSG00000164403	SHROOM1	2.049e-05	4.259	+++	Not differentially expressed	15.0	2.353	2	0.3083
1	ENSG00000143013	LMO4	0.006563	-2.718	---	Not differentially expressed	0.0	0.738	2	0.6913
7	ENSG00000086288	NME8	0.1471	1.45	0++	Not differentially expressed	0.0	0.814	2	0.6655
7	ENSG00000106477	CEP41	0.003573	-2.914	+--	Not differentially expressed	74.0	7.703	2	0.02125
2	ENSG00000151692	RNF144A	0.05816	1.894	+++	Not differentially expressed	21.6	2.551	2	0.2793
1	ENSG00000278273	FP700107.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000128656	CHN1	0.001273	-3.222	---	Not differentially expressed	0.0	0.451	2	0.7982
11	ENSG00000225805	DEFB131B	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
4	ENSG00000118579	MED28	0.9079	-0.116	++-	Not differentially expressed	0.0	1.0	2	0.6066
22	ENSG00000100241	SBF1	0.6833	0.408	+-+	Not differentially expressed	0.0	0.81	2	0.6671
3	ENSG00000241553	ARPC4	0.004211	-2.862	---	Not differentially expressed	0.0	0.613	2	0.7362
21	ENSG00000214914	RPL23AP3	0.4831	0.701	0+-	Not differentially expressed	0.0	1.575	2	0.455
1	ENSG00000200839	RNA5SP48	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
12	ENSG00000257287	AC016256.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000124766	SOX4	0.4762	0.712	+-+	Not differentially expressed	7.0	2.151	2	0.3411
14	ENSG00000259160	AL049869.4	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
13	ENSG00000275919	AL161420.1	0.4518	0.752	0++	Not differentially expressed	0.0	1.349	2	0.5094
19	ENSG00000142409	ZNF787	0.39	0.86	-++	Not differentially expressed	0.0	1.804	2	0.4059
17	ENSG00000006744	ELAC2	0.12	-1.555	+--	Not differentially expressed	0.0	1.002	2	0.606
5	ENSG00000222308	RNA5SP198	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000196998	WDR45	0.2785	1.084	+++	Not differentially expressed	0.0	0.264	2	0.8764
1	ENSG00000163349	HIPK1	0.00101	3.288	+++	Not differentially expressed	0.0	1.687	2	0.4303
1	ENSG00000277397	AL606760.4	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
13	ENSG00000132932	ATP8A2	0.0005312	-3.464	---	Not differentially expressed	0.0	0.131	2	0.9365
6	ENSG00000204469	PRRC2A	0.938	0.078	++-	Not differentially expressed	0.0	1.355	2	0.5079
20	ENSG00000215444	AL138807.1	0.6834	0.408	0+-	Not differentially expressed	5.8	2.123	2	0.3459
19	ENSG00000118162	KPTN	0.001273	3.222	+++	Not differentially expressed	0.0	0.131	2	0.9365
12	ENSG00000112787	FBRSL1	0.1238	1.539	+-+	Not differentially expressed	0.0	1.818	2	0.4029
15	ENSG00000182117	NOP10	0.1143	-1.579	--+	Not differentially expressed	19.7	2.49	2	0.288
19	ENSG00000105198	LGALS13	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000142408	CACNG8	0.0345	-2.114	+--	Not differentially expressed	72.7	7.318	2	0.02576
10	ENSG00000227805	RPL21P90	0.5111	-0.657	00-	Not differentially expressed	0.0	0.493	2	0.7815
2	ENSG00000116062	MSH6	0.03682	2.088	+++	Not differentially expressed	0.0	0.792	2	0.673
7	ENSG00000181016	LSMEM1	0.1274	1.525	-++	Not differentially expressed	0.0	1.133	2	0.5674
17	ENSG00000198783	ZNF830	0.1788	-1.344	+--	Not differentially expressed	5.0	2.106	2	0.349
11	ENSG00000244734	HBB	0.05018	-1.958	---	Not differentially expressed	26.7	2.728	2	0.2556
10	ENSG00000155254	MARVELD1	0.7482	0.321	++-	Not differentially expressed	0.0	1.948	2	0.3775
13	ENSG00000120662	MTRF1	0.4333	0.784	+++	Not differentially expressed	0.0	0.305	2	0.8585
7	ENSG00000223584	TVP23CP1	0.1916	1.306	0++	Not differentially expressed	23.1	2.601	2	0.2724
11	ENSG00000160588	MPZL3	0.9164	-0.105	-+-	Not differentially expressed	0.0	0.575	2	0.7502
14	ENSG00000166170	BAG5	0.02735	-2.206	---	Not differentially expressed	0.0	0.679	2	0.712
15	ENSG00000188277	C15orf62	0.002968	2.971	+++	Not differentially expressed	0.0	0.651	2	0.7221
4	ENSG00000234036	TXNP6	0.3565	0.922	-++	Not differentially expressed	0.0	0.511	2	0.7746
Y	ENSG00000224827	LINC00265-2P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000226309	SMARCE1P2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
3	ENSG00000163430	FSTL1	0.5918	0.536	++-	Not differentially expressed	0.0	0.514	2	0.7734
6	ENSG00000196126	HLA-DRB1	0.6763	-0.418	---	Not differentially expressed	0.0	0.07	2	0.9658
10	ENSG00000122884	P4HA1	0.2808	1.079	-++	Not differentially expressed	0.0	1.846	2	0.3973
7	ENSG00000283267	FAM237B	0.5139	-0.653	-+-	Not differentially expressed	0.0	1.208	2	0.5465
6	ENSG00000155115	GTF3C6	0.04663	1.99	+-+	Not differentially expressed	65.3	5.768	2	0.05591
13	ENSG00000225016	LINC00328-2P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000268902	CSAG2	0.9121	0.11	00+	Not differentially expressed	0.0	0.014	2	0.9931
11	ENSG00000168092	PAFAH1B2	0.04961	-1.963	---	Not differentially expressed	0.0	1.788	2	0.409
17	ENSG00000073598	FNDC8	0.3401	-0.954	00-	Not differentially expressed	0.0	1.039	2	0.5949
1	ENSG00000236806	RPL7AP15	0.2713	1.1	0++	Not differentially expressed	6.7	2.143	2	0.3425
19	ENSG00000268148	VN1R91P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
8	ENSG00000270328	AC009597.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
5	ENSG00000225147	RPS12P10	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000173209	AHSA2P	0.3112	1.013	-++	Not differentially expressed	0.0	1.857	2	0.3951
5	ENSG00000118990	GLRXP3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
5	ENSG00000160867	FGFR4	0.3105	1.014	+++	Not differentially expressed	0.0	0.224	2	0.8941
9	ENSG00000224416	IFNA22P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000116791	CRYZ	0.907	-0.117	--+	Not differentially expressed	0.0	1.054	2	0.5905
21	ENSG00000187026	KRTAP21-2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000184388	PABPC1L2B	0.3216	-0.991	+--	Not differentially expressed	67.9	6.225	2	0.0445
15	ENSG00000259411	HNRNPA1P45	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
9	ENSG00000136856	SLC2A8	0.4516	0.753	+++	Not differentially expressed	0.0	0.333	2	0.8464
7	ENSG00000198580	AC073343.1	7.658e-05	-3.955	---	Not differentially expressed	0.0	0.635	2	0.7279
3	ENSG00000214135	AC132008.2	0.4205	-0.806	++-	Not differentially expressed	74.0	7.695	2	0.02133
17	ENSG00000263375	AC233702.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
22	ENSG00000248751	AC004997.1	0.3354	0.963	0++	Not differentially expressed	0.0	1.256	2	0.5336
15	ENSG00000159322	ADPGK	0.04092	-2.044	---	Not differentially expressed	22.0	2.565	2	0.2774
1	ENSG00000162367	TAL1	1.664e-06	4.79	+++	Not differentially expressed	0.0	0.798	2	0.6711
10	ENSG00000177791	MYOZ1	0.2973	-1.042	---	Not differentially expressed	0.0	0.372	2	0.8305
7	ENSG00000226636	AC006020.1	0.5532	0.593	0+-	Not differentially expressed	56.6	4.606	2	0.09996
8	ENSG00000169436	COL22A1	0.9762	-0.03	--+	Not differentially expressed	0.0	1.905	2	0.3859
19	ENSG00000005007	UPF1	0.05672	1.905	+++	Not differentially expressed	0.0	1.136	2	0.5667
17	ENSG00000185105	MYADML2	0.000152	-3.788	---	Not differentially expressed	0.0	0.16	2	0.923
11	ENSG00000149179	C11orf49	0.6818	0.41	+--	Not differentially expressed	49.1	3.927	2	0.1403
12	ENSG00000185652	NTF3	0.1097	-1.6	0--	Not differentially expressed	0.0	0.982	2	0.6119
15	ENSG00000140479	PCSK6	3.797e-06	4.622	+++	Not differentially expressed	0.0	1.427	2	0.49
7	ENSG00000188037	CLCN1	0.5995	0.525	0-+	Not differentially expressed	0.0	1.314	2	0.5184
7	ENSG00000226767	AC114501.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
8	ENSG00000164754	RAD21	0.9911	0.011	--+	Not differentially expressed	0.0	0.991	2	0.6094
5	ENSG00000232578	AC093311.1	0.9852	0.019	-+-	Not differentially expressed	55.3	4.471	2	0.1069
6	ENSG00000243501	AL365232.1	0.3401	-0.954	0+-	Not differentially expressed	0.0	1.805	2	0.4056
3	ENSG00000189058	APOD	2.903e-07	5.13	+++	Upregulated in AD	0.0	0.655	2	0.7208
5	ENSG00000175766	EIF4E1B	0.5026	-0.67	+-+	Not differentially expressed	19.9	2.497	2	0.2869
13	ENSG00000219926	OR7E104P	0.328	-0.978	++-	Not differentially expressed	82.2	11.231	2	0.003641
X	ENSG00000131089	ARHGEF9	8.961e-06	-4.441	---	Not differentially expressed	0.0	0.934	2	0.6269
17	ENSG00000176994	SMCR8	0.49	-0.69	+--	Not differentially expressed	3.3	2.068	2	0.3556
11	ENSG00000213538	KRT8P41	0.6904	0.398	0+-	Not differentially expressed	0.0	0.634	2	0.7284
12	ENSG00000257905	AC004486.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
8	ENSG00000222546	RNA5SP251	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000236480	PKMP1	0.9329	-0.084	00-	Not differentially expressed	0.0	0.008	2	0.996
3	ENSG00000114742	WDR48	0.1282	-1.521	---	Not differentially expressed	6.5	2.139	2	0.3432
12	ENSG00000213049	HNRNPA1P34	0.585	0.546	0+0	Not differentially expressed	0.0	0.836	2	0.6585
20	ENSG00000197818	SLC9A8	0.1333	1.501	-++	Not differentially expressed	23.3	2.608	2	0.2715
16	ENSG00000161980	POLR3K	0.006884	-2.702	+--	Not differentially expressed	59.2	4.896	2	0.08645
5	ENSG00000168967	PMCHL1	0.2392	1.177	++-	Not differentially expressed	7.4	2.16	2	0.3396
10	ENSG00000107831	FGF8	0.5742	-0.562	+--	Not differentially expressed	31.6	2.924	2	0.2317
15	ENSG00000166912	MTMR10	1.439e-07	5.26	+++	Upregulated in AD	36.0	3.127	2	0.2094
12	ENSG00000213137	ARF1P2	0.6507	0.453	0+-	Not differentially expressed	0.0	0.887	2	0.6417
7	ENSG00000179131	AC073335.1	0.7902	0.266	00+	Not differentially expressed	0.0	0.081	2	0.9604
17	ENSG00000236383	CCDC200	0.02658	2.218	+++	Not differentially expressed	0.0	0.765	2	0.6821
7	ENSG00000006715	VPS41	0.007452	-2.676	---	Not differentially expressed	0.0	0.709	2	0.7016
2	ENSG00000144407	PTH2R	0.002629	-3.008	---	Not differentially expressed	0.0	1.279	2	0.5276
2	ENSG00000170634	ACYP2	0.1761	-1.353	--+	Not differentially expressed	56.6	4.612	2	0.09967
11	ENSG00000132275	RRP8	0.9954	-0.006	-++	Not differentially expressed	0.0	1.605	2	0.4483
6	ENSG00000124564	SLC17A3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
3	ENSG00000233576	AC131235.2	0.4919	0.687	0++	Not differentially expressed	0.0	0.866	2	0.6486
4	ENSG00000138764	CCNG2	0.03982	-2.056	---	Not differentially expressed	0.0	0.728	2	0.6948
4	ENSG00000254535	PABPC4L	0.007744	2.663	+++	Not differentially expressed	0.0	0.558	2	0.7567
20	ENSG00000224357	ATG3P1	0.7801	0.279	0+0	Not differentially expressed	0.0	0.218	2	0.8965
9	ENSG00000224185	SNX18P9	0.483	-0.701	-+-	Not differentially expressed	0.2	2.005	2	0.367
4	ENSG00000138660	AP1AR	0.03963	-2.058	---	Not differentially expressed	14.8	2.348	2	0.3091
11	ENSG00000213181	OR10N1P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
15	ENSG00000183578	TNFAIP8L3	0.005557	-2.773	---	Not differentially expressed	27.3	2.751	2	0.2527
3	ENSG00000249580	MTATP6P22	0.9317	0.086	0+0	Not differentially expressed	0.0	0.021	2	0.9898
2	ENSG00000235616	ST13P2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
12	ENSG00000161813	LARP4	0.8298	0.215	+--	Not differentially expressed	0.0	0.61	2	0.7371
12	ENSG00000136010	ALDH1L2	0.04159	-2.038	-+-	Not differentially expressed	39.6	3.313	2	0.1908
10	ENSG00000182077	PTCHD3	0.216	1.237	+++	Not differentially expressed	0.0	0.85	2	0.6538
8	ENSG00000129295	LRRC6	4.059e-06	-4.608	---	Not differentially expressed	0.0	0.048	2	0.9763
21	ENSG00000168122	ZNF355P	0.4579	-0.742	0--	Not differentially expressed	0.0	0.358	2	0.8362
21	ENSG00000159079	CFAP298	0.00124	-3.229	---	Not differentially expressed	0.0	0.065	2	0.968
1	ENSG00000177462	OR2T8	0.6499	-0.454	00-	Not differentially expressed	0.0	0.235	2	0.8891
8	ENSG00000248522	SBF1P1	0.4157	-0.814	++-	Not differentially expressed	3.8	2.08	2	0.3535
19	ENSG00000268696	ZNF723	0.1095	1.6	0++	Not differentially expressed	36.8	3.163	2	0.2057
X	ENSG00000268629	TEX13A	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000174914	OR9G1	0.9576	0.053	0+-	Not differentially expressed	0.0	1.028	2	0.5981
9	ENSG00000184961	RPL7AP49	0.7989	-0.255	0--	Not differentially expressed	0.0	0.026	2	0.9871
11	ENSG00000167995	BEST1	0.002108	3.075	+++	Not differentially expressed	0.0	1.627	2	0.4432
7	ENSG00000105865	DUS4L	0.591	-0.537	--+	Not differentially expressed	0.0	1.063	2	0.5877
6	ENSG00000244694	PTCHD4	0.1725	-1.364	---	Not differentially expressed	0.0	0.887	2	0.6419
9	ENSG00000213711	PHBP7	0.2274	1.207	+++	Not differentially expressed	0.0	0.9	2	0.6375
16	ENSG00000130731	METTL26	0.0101	-2.572	---	Not differentially expressed	3.9	2.082	2	0.3531
12	ENSG00000123349	PFDN5	0.1756	-1.354	--+	Not differentially expressed	48.9	3.915	2	0.1412
12	ENSG00000111644	ACRBP	0.9923	0.01	0-+	Not differentially expressed	0.0	0.051	2	0.9748
19	ENSG00000105135	ILVBL	0.2456	1.161	-++	Not differentially expressed	0.0	0.666	2	0.7167
6	ENSG00000096384	HSP90AB1	0.006779	-2.708	+--	Not differentially expressed	40.5	3.36	2	0.1864
5	ENSG00000244234	GMCL2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
10	ENSG00000228462	RPS19P7	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
8	ENSG00000168484	SFTPC	0.2965	1.044	+-+	Not differentially expressed	36.9	3.172	2	0.2047
6	ENSG00000223865	HLA-DPB1	0.1246	1.536	+++	Not differentially expressed	0.0	0.022	2	0.9891
5	ENSG00000131507	NDFIP1	0.000989	-3.294	---	Not differentially expressed	31.8	2.934	2	0.2306
2	ENSG00000143970	ASXL2	0.005628	2.769	+++	Not differentially expressed	10.2	2.227	2	0.3285
5	ENSG00000250803	AC010255.3	0.1635	1.393	0++	Not differentially expressed	0.0	1.033	2	0.5966
17	ENSG00000260027	HOXB7	0.4669	0.728	0++	Not differentially expressed	0.0	0.46	2	0.7945
X	ENSG00000223484	TRPC6P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000231643	Z70280.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000172059	KLF11	0.0913	1.689	+++	Not differentially expressed	0.0	1.573	2	0.4555
10	ENSG00000155252	PI4K2A	0.02304	-2.273	---	Not differentially expressed	0.0	0.206	2	0.902
4	ENSG00000251609	SETP12	0.4722	-0.719	00-	Not differentially expressed	0.0	0.59	2	0.7445
7	ENSG00000278683	AC006329.2	0.4901	0.69	00+	Not differentially expressed	0.0	0.544	2	0.762
6	ENSG00000111897	SERINC1	0.009016	-2.611	---	Not differentially expressed	0.0	0.249	2	0.8831
15	ENSG00000261665	TUBAP4	0.6809	0.411	00+	Not differentially expressed	0.0	0.193	2	0.908
12	ENSG00000241423	RPL21P103	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000109917	ZPR1	0.01514	2.429	+++	Not differentially expressed	57.7	4.729	2	0.09401
7	ENSG00000213644	SAPCD2P1	0.1421	-1.468	00-	Not differentially expressed	18.7	2.46	2	0.2923
11	ENSG00000279000	OR10A6	0.6811	0.411	-+-	Not differentially expressed	47.9	3.84	2	0.1466
9	ENSG00000107165	TYRP1	0.131	-1.51	-+-	Not differentially expressed	0.0	1.665	2	0.435
15	ENSG00000184206	GOLGA6L4	0.6292	0.483	++-	Not differentially expressed	17.9	2.436	2	0.2959
8	ENSG00000254402	LRRC24	0.01116	-2.538	---	Not differentially expressed	0.0	0.272	2	0.8729
3	ENSG00000186265	BTLA	0.778	-0.282	0--	Not differentially expressed	0.0	0.036	2	0.982
12	ENSG00000240759	RPS27P21	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000116903	EXOC8	0.00137	-3.201	---	Not differentially expressed	0.0	0.155	2	0.9256
13	ENSG00000237876	AKR1B1P4	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000125629	INSIG2	0.1388	-1.48	---	Not differentially expressed	0.0	0.164	2	0.9211
11	ENSG00000165895	ARHGAP42	1.045e-05	4.408	+++	Not differentially expressed	0.0	0.161	2	0.9227
X	ENSG00000102316	MAGED2	0.1604	-1.404	---	Not differentially expressed	0.0	0.702	2	0.7038
12	ENSG00000223722	AC023157.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000174945	AMZ1	0.07125	1.804	+++	Not differentially expressed	0.0	0.444	2	0.8009
14	ENSG00000259000	DOCK11P1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000184194	GPR173	0.8724	0.161	+-+	Not differentially expressed	58.5	4.821	2	0.08979
16	ENSG00000270472	IGHV3OR16-9	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
4	ENSG00000250677	AC114781.3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
15	ENSG00000182256	GABRG3	0.004285	-2.856	---	Not differentially expressed	42.9	3.502	2	0.1736
20	ENSG00000125818	PSMF1	0.1701	-1.372	+--	Not differentially expressed	69.3	6.514	2	0.0385
3	ENSG00000187068	C3orf70	0.5758	0.559	+--	Not differentially expressed	0.0	1.303	2	0.5213
1	ENSG00000143653	SCCPDH	0.004487	-2.842	---	Not differentially expressed	0.0	0.62	2	0.7334
2	ENSG00000234946	SDHCP3	0.1396	1.477	0++	Not differentially expressed	37.4	3.193	2	0.2026
12	ENSG00000256310	NDUFA5P6	0.2285	-1.204	0+-	Not differentially expressed	26.8	2.732	2	0.2551
14	ENSG00000213928	IRF9	0.07757	1.765	+++	Not differentially expressed	0.0	0.674	2	0.714
22	ENSG00000231086	TSSK1A	0.5553	-0.59	0--	Not differentially expressed	0.0	0.131	2	0.9368
7	ENSG00000106682	EIF4H	0.002381	-3.038	---	Not differentially expressed	0.0	0.087	2	0.9573
3	ENSG00000138472	GUCA1C	0.09672	-1.661	00-	Not differentially expressed	36.5	3.149	2	0.2071
3	ENSG00000183960	KCNH8	0.556	0.589	-++	Not differentially expressed	33.1	2.99	2	0.2243
6	ENSG00000270935	AL021808.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000232456	AL355994.2	0.1773	1.349	0++	Not differentially expressed	0.0	1.945	2	0.3782
7	ENSG00000230556	AC073264.2	0.4071	0.829	00+	Not differentially expressed	0.0	0.784	2	0.6756
4	ENSG00000138785	INTS12	0.07218	1.798	+-+	Not differentially expressed	54.2	4.367	2	0.1126
9	ENSG00000223807	BOLA3P4	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
20	ENSG00000282826	FRG1CP	0.008021	-2.651	---	Not differentially expressed	32.7	2.97	2	0.2265
9	ENSG00000226987	AL157938.1	0.3504	0.934	0++	Not differentially expressed	0.0	0.326	2	0.8497
1	ENSG00000177674	AGTRAP	0.01154	2.526	+++	Not differentially expressed	0.0	1.214	2	0.5449
11	ENSG00000173156	RHOD	0.03388	2.122	0++	Not differentially expressed	54.5	4.4	2	0.1108
